case_key,seed_case,gamma_jump_case,deltaS_hor_case,profile,a_1_over_Teff,b,R2,Teff,mean_jump_rate,mean_Lambda_w,mean_Coh_ptr_w
seed_20260902_Gm_0.12_dS_0.12,20260902,0.12,0.12,gaussian,10.23692147815672,0.01586317546108648,0.19141374642017217,0.09768561790121906,0.0026339285714285714,0.0009941330396813555,3.8833324149276525e-05
seed_20260902_Gm_0.12_dS_0.12,20260902,0.12,0.12,oscillating,6.405485956573278,0.0194589890539718,0.00830991252126867,0.15611618022108142,0.002580357142857143,0.022625444811536756,0.0008838334102692676
seed_20260903_Gm_0.09_dS_0.08,20260903,0.09,0.08,constant,10.177596601061857,0.000723695717581097,0.9476991530297221,0.09825502416706781,0.002017857142857143,0.015468545431184855,0.0006042584963181829
seed_20260903_Gm_0.09_dS_0.08,20260903,0.09,0.08,gaussian,13.588542948368984,0.006365436881335088,0.4266121054983245,0.07359140739368446,0.0020089285714285712,0.0006796680559010173,2.654953499701783e-05
seed_20260903_Gm_0.09_dS_0.08,20260903,0.09,0.08,oscillating,5.048214867310449,0.01122002270303908,0.05213569114111272,0.19808982507370426,0.0022767857142857143,0.015468545431184855,0.0006042584963181829
seed_20260903_Gm_0.09_dS_0.12,20260903,0.09,0.12,constant,15.266394901592788,0.0010855435763716455,0.947699153029722,0.06550334944471187,0.002017857142857143,0.022625444811536756,0.0008838334102692693
seed_20260903_Gm_0.09_dS_0.12,20260903,0.09,0.12,gaussian,20.382814422553515,0.00954815532200262,0.4266121054983246,0.04906093826245621,0.0020089285714285712,0.000994133039681356,3.883332414927515e-05
seed_20260903_Gm_0.09_dS_0.12,20260903,0.09,0.12,oscillating,7.572322300965656,0.016830034054558646,0.05213569114111316,0.13205988338246982,0.0022767857142857143,0.022625444811536752,0.0008838334102692694
seed_20260903_Gm_0.12_dS_0.08,20260903,0.12,0.08,constant,10.441376462859603,0.0007336942128903763,0.9581226161835241,0.09577281343671884,0.0026875,0.015468545431184857,0.0006042584963181828
seed_20260903_Gm_0.12_dS_0.08,20260903,0.12,0.08,gaussian,9.822685303428024,0.008796549532033895,0.2600500024267781,0.10180515501713258,0.0024285714285714284,0.0006796680559010171,2.6549534997018308e-05
seed_20260903_Gm_0.12_dS_0.08,20260903,0.12,0.08,oscillating,4.926186541289524,0.013220197961383054,0.07112608687877886,0.2029967788711125,0.002705357142857143,0.015468545431184855,0.0006042584963181829
seed_20260903_Gm_0.12_dS_0.12,20260903,0.12,0.12,constant,15.662064694289423,0.0011005413193355617,0.9581226161835241,0.06384854229114581,0.0026875,0.022625444811536763,0.0008838334102692691
seed_20260903_Gm_0.12_dS_0.12,20260903,0.12,0.12,gaussian,14.734027955142011,0.01319482429805085,0.2600500024267781,0.06787010334475517,0.0024285714285714284,0.0009941330396813558,3.883332414927585e-05
seed_20260903_Gm_0.12_dS_0.12,20260903,0.12,0.12,oscillating,7.3892798119342995,0.019830296942074575,0.07112608687877875,0.13533118591407475,0.002705357142857143,0.022625444811536756,0.0008838334102692694
seed_20260904_Gm_0.09_dS_0.08,20260904,0.09,0.08,constant,10.782479996617047,0.0004212437244949858,0.9820561795864169,0.09274304244605558,0.002267857142857143,0.015468545431184848,0.000604258496318182
seed_20260904_Gm_0.09_dS_0.08,20260904,0.09,0.08,gaussian,12.903951886266125,0.007072890339458449,0.3278774312922159,0.07749563922849988,0.0021517857142857146,0.0006796680559010171,2.654953499701809e-05
seed_20260904_Gm_0.09_dS_0.08,20260904,0.09,0.08,oscillating,5.2537395116886,0.010709420738012461,0.029501159483025563,0.190340613152819,0.0021607142857142858,0.015468545431184855,0.0006042584963181827
seed_20260904_Gm_0.09_dS_0.12,20260904,0.09,0.12,constant,16.173719994925577,0.0006318655867424772,0.9820561795864168,0.06182869496403703,0.002267857142857143,0.02262544481153675,0.0008838334102692681
seed_20260904_Gm_0.09_dS_0.12,20260904,0.09,0.12,gaussian,19.35592782939918,0.010609335509187677,0.32787743129221614,0.051663759485666594,0.0021517857142857146,0.0009941330396813558,3.883332414927554e-05
