case_key,seed_case,gamma_jump_case,deltaS_hor_case,R2_constant,R2_gaussian,R2_oscillating,oscillating_is_lowest_R2,const_minus_osc_R2,gauss_minus_osc_R2
seed_20260903_Gm_0.12_dS_0.12,20260903,0.12,0.12,0.9581226161835241,0.2600500024267781,0.07112608687877875,True,0.8869965293047454,0.18892391554799937
seed_20260904_Gm_0.09_dS_0.08,20260904,0.09,0.08,0.9820561795864169,0.3278774312922159,0.029501159483025563,True,0.9525550201033913,0.29837627180919035
seed_20260904_Gm_0.09_dS_0.12,20260904,0.09,0.12,0.9820561795864168,0.32787743129221614,0.029501159483025563,True,0.9525550201033912,0.2983762718091906
seed_20260904_Gm_0.12_dS_0.08,20260904,0.12,0.08,0.9133679508420876,0.32967275684326103,0.015456371944689407,True,0.8979115788973981,0.3142163848985716
seed_20260904_Gm_0.12_dS_0.12,20260904,0.12,0.12,0.9133679508420876,0.3296727568432609,0.015456371944689407,True,0.8979115788973981,0.3142163848985715
seed_20260905_Gm_0.09_dS_0.08,20260905,0.09,0.08,0.9702005847275033,0.19167992253862454,0.012046837471077376,True,0.9581537472564259,0.17963308506754716
seed_20260905_Gm_0.09_dS_0.12,20260905,0.09,0.12,0.9702005847275033,0.19167992253862476,0.012046837471077376,True,0.9581537472564259,0.17963308506754738
seed_20260905_Gm_0.12_dS_0.08,20260905,0.12,0.08,0.9824783644119025,0.44029317091608977,0.09863839233651239,True,0.8838399720753901,0.3416547785795774
seed_20260905_Gm_0.12_dS_0.12,20260905,0.12,0.12,0.9824783644119025,0.44029317091608977,0.0986383923365125,True,0.88383997207539,0.34165477857957727
seed_20260906_Gm_0.09_dS_0.08,20260906,0.09,0.08,0.9100404995545097,0.24639411699334868,0.005523016074588605,True,0.9045174834799211,0.24087110091876007
seed_20260906_Gm_0.09_dS_0.12,20260906,0.09,0.12,0.9100404995545097,0.24639411699334846,0.005523016074588938,True,0.9045174834799208,0.24087110091875952
seed_20260906_Gm_0.12_dS_0.08,20260906,0.12,0.08,0.8958287204200823,0.15694555198939575,0.08872220368388262,True,0.8071065167361997,0.06822334830551313
seed_20260906_Gm_0.12_dS_0.12,20260906,0.12,0.12,0.8958287204200823,0.15694555198939586,0.08872220368388273,True,0.8071065167361996,0.06822334830551313
seed_20260907_Gm_0.09_dS_0.08,20260907,0.09,0.08,0.8835551792822853,0.24580671890703654,0.09425925417964609,True,0.7892959251026392,0.15154746472739045
seed_20260907_Gm_0.09_dS_0.12,20260907,0.09,0.12,0.8835551792822854,0.24580671890703631,0.09425925417964576,True,0.7892959251026397,0.15154746472739056
seed_20260907_Gm_0.12_dS_0.08,20260907,0.12,0.08,0.9088151214172558,0.6367768902873042,0.032410612758755675,True,0.8764045086585002,0.6043662775285485
seed_20260907_Gm_0.12_dS_0.12,20260907,0.12,0.12,0.9088151214172558,0.636776890287304,0.032410612758755564,True,0.8764045086585003,0.6043662775285484
seed_20260908_Gm_0.09_dS_0.08,20260908,0.09,0.08,1.0,0.40097115931443794,0.04185149766310903,True,0.958148502336891,0.3591196616513289
seed_20260908_Gm_0.09_dS_0.12,20260908,0.09,0.12,1.0,0.40097115931443794,0.04185149766310847,True,0.9581485023368915,0.35911966165132947
seed_20260908_Gm_0.12_dS_0.08,20260908,0.12,0.08,0.9601387167226223,0.41003360998600047,0.08688088414470818,True,0.8732578325779141,0.3231527258412923
seed_20260908_Gm_0.12_dS_0.12,20260908,0.12,0.12,0.9601387167226223,0.41003360998600036,0.08688088414470829,True,0.873257832577914,0.32315272584129207
seed_20260909_Gm_0.09_dS_0.08,20260909,0.09,0.08,0.8874217102646879,0.3782995429447854,0.11619012843993404,True,0.7712315818247538,0.26210941450485137
seed_20260909_Gm_0.09_dS_0.12,20260909,0.09,0.12,0.8874217102646879,0.3782995429447855,0.11619012843993437,True,0.7712315818247535,0.26210941450485115
seed_20260909_Gm_0.12_dS_0.08,20260909,0.12,0.08,0.9351228894130833,0.23545134595004014,0.05730748497946159,True,0.8778154044336217,0.17814386097057855
seed_20260909_Gm_0.12_dS_0.12,20260909,0.12,0.12,0.9351228894130833,0.23545134595004025,0.057307484979461365,True,0.8778154044336219,0.17814386097057888
seed_20260910_Gm_0.09_dS_0.08,20260910,0.09,0.08,0.9748193162353523,0.40494951748423746,0.09936734118105595,True,0.8754519750542964,0.3055821763031815
seed_20260910_Gm_0.09_dS_0.12,20260910,0.09,0.12,0.9748193162353523,0.4049495174842376,0.09936734118105583,True,0.8754519750542965,0.30558217630318174
seed_20260910_Gm_0.12_dS_0.08,20260910,0.12,0.08,0.9304282970847333,0.32596541654928124,0.03641922859498414,True,0.8940090684897491,0.2895461879542971
seed_20260910_Gm_0.12_dS_0.12,20260910,0.12,0.12,0.9304282970847333,0.32596541654928124,0.03641922859498414,True,0.8940090684897491,0.2895461879542971
seed_20260911_Gm_0.09_dS_0.08,20260911,0.09,0.08,0.9211290856213263,0.34318418102532533,0.018642446020186165,True,0.9024866396011402,0.32454173500513916
seed_20260911_Gm_0.09_dS_0.12,20260911,0.09,0.12,0.9211290856213263,0.34318418102532544,0.01864244602018572,True,0.9024866396011406,0.3245417350051397
seed_20260911_Gm_0.12_dS_0.08,20260911,0.12,0.08,0.9528199886438359,0.410740848929511,0.002866712726451004,True,0.9499532759173849,0.40787413620306
seed_20260911_Gm_0.12_dS_0.12,20260911,0.12,0.12,0.9528199886438359,0.4107408489295111,0.002866712726450893,True,0.949953275917385,0.40787413620306023
