sample_id,step,t,Q_total,Q_total_dot,Q_total_drift
0,52,1.04,1.5366175228696055,-2.7755575615628914e-17,0.0
0,53,1.06,1.5366175228696055,-2.7755575615628914e-17,0.0
0,54,1.08,1.5366175228696055,-6.938893903907228e-18,0.0
0,55,1.1,1.5366175228696055,0.0,0.0
0,56,1.12,1.5366175228696053,1.3877787807814457e-17,2.220446049250313e-16
0,57,1.1400000000000001,1.5366175228696055,-2.0816681711721685e-17,0.0
0,58,1.16,1.5366175228696055,2.7755575615628914e-17,0.0
0,59,1.18,1.5366175228696057,-6.938893903907228e-18,2.220446049250313e-16
0,60,1.2,1.5366175228696055,1.3877787807814457e-17,0.0
0,61,1.22,1.5366175228696055,-1.3877787807814457e-17,0.0
0,62,1.24,1.5366175228696053,0.0,2.220446049250313e-16
0,63,1.26,1.5366175228696055,-6.938893903907228e-18,0.0
0,64,1.28,1.5366175228696055,0.0,0.0
0,65,1.3,1.5366175228696055,-6.938893903907228e-18,0.0
0,66,1.32,1.5366175228696055,3.469446951953614e-18,0.0
0,67,1.34,1.536617522869606,3.469446951953614e-18,4.440892098500626e-16
0,68,1.36,1.5366175228696057,1.0408340855860843e-17,2.220446049250313e-16
0,69,1.3800000000000001,1.5366175228696055,-1.734723475976807e-18,0.0
0,70,1.4000000000000001,1.5366175228696055,1.0408340855860843e-17,0.0
0,71,1.42,1.5366175228696053,-1.214306433183765e-17,2.220446049250313e-16
0,72,1.44,1.5366175228696055,1.734723475976807e-17,0.0
0,73,1.46,1.5366175228696053,-6.938893903907228e-18,2.220446049250313e-16
0,74,1.48,1.5366175228696055,-1.3877787807814457e-17,0.0
0,75,1.5,1.5366175228696057,1.734723475976807e-17,2.220446049250313e-16
0,76,1.52,1.5366175228696053,-6.938893903907228e-18,2.220446049250313e-16
0,77,1.54,1.5366175228696057,-6.938893903907228e-18,2.220446049250313e-16
0,78,1.56,1.5366175228696055,3.469446951953614e-18,0.0
0,79,1.58,1.5366175228696057,-4.85722573273506e-17,2.220446049250313e-16
1,0,0.0,1.4778346829570022,3.8163916471489756e-17,0.0
1,1,0.02,1.4778346829570022,-1.0408340855860843e-17,0.0
1,2,0.04,1.4778346829570022,-3.122502256758253e-17,0.0
1,3,0.06,1.4778346829570022,6.938893903907228e-18,0.0
1,4,0.08,1.4778346829570022,6.938893903907228e-18,0.0
1,5,0.1,1.4778346829570022,3.469446951953614e-17,0.0
1,6,0.12,1.477834682957002,-2.0816681711721685e-17,2.220446049250313e-16
1,7,0.14,1.4778346829570022,4.163336342344337e-17,0.0
1,8,0.16,1.4778346829570022,-2.7755575615628914e-17,0.0
1,9,0.18,1.4778346829570022,-2.0816681711721685e-17,0.0
1,10,0.2,1.4778346829570022,1.3877787807814457e-17,0.0
1,11,0.22,1.4778346829570022,-1.3877787807814457e-17,0.0
1,12,0.24,1.4778346829570022,-1.3877787807814457e-17,0.0
