time_index,time,residual_base_res0,lambda_h,n_density_ctrl_z,resid_base_oof_h,resid_full_oof_h,lambda_v,resid_base_oof_v,resid_full_oof_v,proxy_vorticity_abs_mean,proxy_omega_q_850_300
558,2017-05-20 12:00:00,-0.8588980199969548,-7.726472892844707e-06,-0.5305967610928407,-0.8887252069497354,-0.9005615470602722,-7.725294783979681e-06,-0.8887252069497354,-0.9020829567555988,1.144468726417754e-05,0.00023653673370050785
559,2017-05-20 18:00:00,0.1555305391207728,4.851967015528386e-06,-0.479884411131888,0.1368005867531704,0.1408019482380005,5.66001007883671e-06,0.1368005867531704,0.1428681809329572,1.1419287493076398e-05,0.00026772136107883356
560,2017-05-21 00:00:00,-0.2532410759720602,-4.357112007415072e-05,-0.5697509250653893,-0.2916362536198976,-0.3487815980327038,-4.641125454966415e-05,-0.2916362536198976,-0.3613045710445728,1.1646169487054821e-05,0.00024749461684700513
561,2017-05-21 06:00:00,0.0277960135387939,-3.833295545100347e-05,-2.0575543577740043,-0.336170819181499,-0.3841933381605942,-4.0484416745928905e-05,-0.336170819181499,-0.3948785636855964,1.1829399917685227e-05,0.0003081639957015549
562,2017-05-21 12:00:00,-0.1759356534705285,2.1904096284936003e-05,-0.6429131937513202,-0.2303407154762543,-0.204480546530255,2.4943409956512695e-05,-0.2303407154762543,-0.195919393257866,1.2543632106650832e-05,0.00034486148238494136
563,2017-05-21 18:00:00,1.2329618238926838,3.152578142316189e-05,-0.2552912985564691,1.2633789226553056,1.3007696246814788,3.704992114823797e-05,1.2633789226553056,1.3148358675110154,1.2685147810864153e-05,0.00033315925263783597
564,2017-05-22 00:00:00,-0.0729294296768799,4.456419504269819e-05,-0.0329491860768701,0.0061421404768334,0.0596653381743815,5.196013336379108e-05,0.0061421404768334,0.0789783518495047,1.3341766509064496e-05,0.0002454674420517689
565,2017-05-22 06:00:00,-0.1133336616757011,3.8186944080285705e-05,-1.5970915273205804,-0.3765387657198182,-0.3284684593850126,4.3926133086747995e-05,-0.3765387657198182,-0.3129659377624496,1.3717503445390192e-05,0.00023485420193812301
566,2017-05-22 12:00:00,-0.8617484015223215,2.1782055132023857e-05,-0.2537200288594206,-0.8309874664271661,-0.8059336658488114,2.5109769960399783e-05,-0.8309874664271661,-0.7969317177580307,1.3700409983992134e-05,0.00025903859317185095
567,2017-05-22 18:00:00,-0.3153270383374014,4.167479997705481e-05,-0.1509035485296571,-0.2620670748532978,-0.2120039013585128,4.9713027896223346e-05,-0.2620670748532978,-0.1923209963553453,1.3279200480472372e-05,0.0003426902651458987
568,2017-05-23 00:00:00,-0.0207575949158306,0.000142115529669,-0.0198197914693194,0.0611870420950398,0.2381753448268386,0.0001723629333359,0.0611870420950398,0.3094491985403909,1.3119131279232952e-05,0.0002725784914331996
569,2017-05-23 06:00:00,0.6039824324652027,1.7915702013200325e-05,-1.4858522499341116,0.3651194927497719,0.3873427653013138,2.034282556163876e-05,0.3651194927497719,0.3941538322940904,1.3603425366434131e-05,0.00035976690867555247
570,2017-05-23 12:00:00,0.0510680511331084,-3.5961079626628474e-06,-0.1720685421566146,0.0996965412295066,0.0924881791610075,-4.2760868670487784e-06,0.0996965412295066,0.0908047649873526,1.3511868741109533e-05,0.00041899273817766583
571,2017-05-23 18:00:00,0.5664987591555679,1.5637797163727135e-05,0.0130509191089877,0.6556363972115457,0.6724655504010494,1.7971897340319988e-05,0.6556363972115457,0.678874362530319,1.3225693676635065e-05,0.0004081236715672197
572,2017-05-24 00:00:00,0.213078617508561,7.345472518737754e-06,0.1169915481325202,0.3249612781101959,0.3311193486002308,8.220868769911299e-06,0.3249612781101959,0.3338280361510651,1.2956803332838343e-05,0.00026657794420594704
573,2017-05-24 06:00:00,0.2771840984261794,-1.3659466943461973e-06,-1.456370355745985,0.0447725950191223,0.0425384679883293,-1.4072850397391878e-06,0.0447725950191223,0.0420674313128703,1.3524215739820119e-05,0.0002861396907283687
574,2017-05-24 12:00:00,-0.6991898614933628,-1.7820317597467804e-05,-0.2827846449518403,-0.6747890509665636,-0.6998179380934022,-1.8390091516572347e-05,-0.6747890509665636,-0.7040742690073442,1.3426113198303375e-05,0.00028007065419853486
575,2017-05-24 18:00:00,0.3565131475976096,-1.87103308565946e-05,-0.0448412358281284,0.4329824154346303,0.4064283450437887,-1.9042507999514424e-05,0.4329824154346303,0.4023748116925518,1.342445112822496e-05,0.0003590145868853589
576,2017-05-25 00:00:00,0.0442799136450373,-4.21185349407668e-06,0.0472604914050356,0.140903531923193,0.1325483514945266,-4.41570865149964e-06,0.140903531923193,0.1314656741072813,1.3439586202350715e-05,0.00023859742036017295
577,2017-05-25 06:00:00,0.3956383674142084,-2.8369263180494835e-05,-1.3841731582644112,0.1790255646680822,0.1424878810888326,-2.850558014155974e-05,0.1790255646680822,0.1367209946490632,1.3419098562186355e-05,0.0002600646459880793
578,2017-05-25 12:00:00,-0.63581360457612,-2.8481914513958217e-05,-0.03254444678748,-0.5566534665125452,-0.595597666839544,-2.831623275070834e-05,-0.5566534665125452,-0.6007936047159944,1.3049324335939394e-05,0.00035938785745408004
579,2017-05-25 18:00:00,0.6812153284425266,-3.7505533114444504e-05,0.1502823696149491,0.8003829217244309,0.7497097865218826,-3.7042777137412496e-05,0.8003829217244309,0.7432411823803453,1.2811715659542395e-05,0.00044019143000769513
580,2017-05-26 00:00:00,0.6826199498861457,-2.4331673560432847e-05,0.1344404181054015,0.7983208954515898,0.7643506597691713,-2.4077573296127856e-05,0.7983208954515898,0.7600963139464862,1.2442655288353421e-05,0.00036385597776460556
581,2017-05-26 06:00:00,0.5799752259953611,3.860300590782535e-05,-1.2980195790264064,0.3822151579360129,0.4303112119890505,3.827970763608483e-05,0.3822151579360129,0.4370930238021276,1.2421402611070307e-05,0.00034594250138054224
582,2017-05-26 12:00:00,-0.5563492589545534,7.209989371433956e-06,-0.0050472602555934,-0.4711719923293619,-0.4649810162849433,7.23716292541126e-06,-0.4711719923293619,-0.463548007888465,1.2370460297856426e-05,0.00032110635494170996
583,2017-05-26 18:00:00,0.5616858892731962,-1.8885273139774636e-05,0.197406782344085,0.6911655793746453,0.6639843010441643,-1.8274961890278936e-05,0.6911655793746453,0.6612979817503989,1.2288041017274126e-05,0.0003457930926118214
584,2017-05-27 00:00:00,0.7086914667361393,-1.5082785287316386e-05,-0.010767627887747,0.7926169621147537,0.7705978132534516,-1.5414418345491487e-05,0.7926169621147537,0.7672428460015692,1.2129639273698466e-05,0.0002754180014505767
585,2017-05-27 06:00:00,0.5400780178757053,7.213492371639209e-06,-1.4166562843783137,0.3163570280543705,0.3249168177089726,6.749058699569206e-06,0.3163570280543705,0.3254749430327707,1.235911404312337e-05,0.0002678766875110922
586,2017-05-27 12:00:00,-0.7729269656158676,1.968303152765064e-05,-0.1658369185899641,-0.7229348276384524,-0.7006853136233617,2.0140679305470792e-05,-0.7229348276384524,-0.6962571405994792,1.2734745921534872e-05,0.000284204036941577
587,2017-05-27 18:00:00,0.5759542322048733,2.603541510102842e-05,0.144332080526647,0.6938197412032973,0.7235910146134104,2.7031291163016568e-05,0.6938197412032973,0.73005363235024,1.285645012754442e-05,0.0003333037060911109
588,2017-05-28 00:00:00,-0.1014964489112762,1.9707011887290597e-05,0.0120098609832836,-0.0125866225470588,0.0093953623731942,2.0329926009220212e-05,-0.0125866225470588,0.0140890002396278,1.2896226670134246e-05,0.0002126353369152698
589,2017-05-28 06:00:00,0.313670712832003,9.298910405626322e-06,-1.427572724507934,0.0875609104818319,0.0987788482632613,9.533011956195686e-06,0.0875609104818319,0.1007525513590409,1.3128295561901961e-05,0.0002455001322102921
