seed,Lx,K_layers,mean_commutator_norm_adjacent_Umu,max_commutator_norm_adjacent_Umu,mean_abs_delta_lambda_gauge,max_abs_delta_lambda_gauge,gauge_invariant_within_tol,seed_case,lx_case,k_case
20260224,6,30,0.11882974124578773,0.4916658337658773,5.764567425833866e-17,6.661338147750939e-16,True,20260224,6,30
20260224,8,10,0.14442976702994942,0.5298973357020511,5.2323596844150446e-17,3.191891195797325e-16,True,20260224,8,10
20260224,8,20,0.12010617366049275,0.45559735621075315,4.7669320205577514e-17,3.3306690738754696e-16,True,20260224,8,20
20260224,8,30,0.11907817875800664,0.4916658337658773,5.668344483025778e-17,5.551115123125783e-16,True,20260224,8,30
20260224,12,10,0.13992612636678392,0.5298973357020511,5.1073150338550495e-17,3.3306690738754696e-16,True,20260224,12,10
20260224,12,20,0.12270545159889601,0.49261474977767333,4.850957688925378e-17,5.551115123125783e-16,True,20260224,12,20
20260224,12,30,0.12075517358035287,0.4916658337658773,5.053059750140254e-17,4.440892098500626e-16,True,20260224,12,30
20260225,6,10,0.14023200469011507,0.5298973357020511,7.745540320236443e-17,8.326672684688674e-16,True,20260225,6,10
20260225,6,20,0.11953970972734097,0.4077578010425246,6.130440483957203e-17,7.216449660063518e-16,True,20260225,6,20
20260225,6,30,0.11882974124578773,0.4916658337658773,5.584318814658151e-17,5.551115123125783e-16,True,20260225,6,30
20260225,8,10,0.14442976702994942,0.5298973357020511,5.490399801466594e-17,3.3306690738754696e-16,True,20260225,8,10
20260225,8,20,0.12010617366049275,0.45559735621075315,5.673257274119853e-17,5.551115123125783e-16,True,20260225,8,20
20260225,8,30,0.11907817875800664,0.4916658337658773,5.452859301244284e-17,4.718447854656915e-16,True,20260225,8,30
20260225,12,10,0.13992612636678392,0.5298973357020511,5.095750210681871e-17,6.106226635438361e-16,True,20260225,12,10
20260225,12,20,0.12270545159889601,0.49261474977767333,5.515878552520004e-17,6.661338147750939e-16,True,20260225,12,20
20260225,12,30,0.12075517358035287,0.4916658337658773,6.024775947230387e-17,7.771561172376096e-16,True,20260225,12,30
20260226,6,10,0.14023200469011507,0.5298973357020511,5.928417479150738e-17,9.992007221626409e-16,True,20260226,6,10
20260226,6,20,0.11953970972734097,0.4077578010425246,5.4094460392543435e-17,9.43689570931383e-16,True,20260226,6,20
20260226,6,30,0.11882974124578773,0.4916658337658773,5.5063917835107556e-17,9.43689570931383e-16,True,20260226,6,30
20260226,8,10,0.14442976702994942,0.5298973357020511,5.272475164797008e-17,4.996003610813204e-16,True,20260226,8,10
20260226,8,20,0.12010617366049275,0.45559735621075315,5.360532709993565e-17,7.216449660063518e-16,True,20260226,8,20
20260226,8,30,0.11907817875800664,0.4916658337658773,4.443196028117158e-17,2.220446049250313e-16,True,20260226,8,30
20260226,12,10,0.13992612636678392,0.5298973357020511,3.994923604884922e-17,2.220446049250313e-16,True,20260226,12,10
20260226,12,20,0.12270545159889601,0.49261474977767333,5.022058344270747e-17,3.885780586188048e-16,True,20260226,12,20
20260226,12,30,0.12075517358035287,0.4916658337658773,4.8274101729917085e-17,4.440892098500626e-16,True,20260226,12,30
20260227,6,10,0.14023200469011507,0.5298973357020511,5.181040781584064e-17,3.3306690738754696e-16,True,20260227,6,10
20260227,6,20,0.11953970972734097,0.4077578010425246,5.1550199294444115e-17,3.885780586188048e-16,True,20260227,6,20
20260227,6,30,0.11882974124578773,0.4916658337658773,4.867728941281013e-17,3.885780586188048e-16,True,20260227,6,30
20260227,8,10,0.14442976702994942,0.5298973357020511,5.246454312657356e-17,4.440892098500626e-16,True,20260227,8,10
20260227,8,20,0.12010617366049275,0.45559735621075315,4.153849573335089e-17,3.885780586188048e-16,True,20260227,8,20
20260227,8,30,0.11907817875800664,0.4916658337658773,4.6796876269905585e-17,4.440892098500626e-16,True,20260227,8,30
20260227,12,10,0.13992612636678392,0.5298973357020511,4.7415775010032725e-17,3.3306690738754696e-16,True,20260227,12,10
20260227,12,20,0.12270545159889601,0.49261474977767333,4.920922610368583e-17,4.163336342344337e-16,True,20260227,12,20
20260227,12,30,0.12075517358035287,0.4916658337658773,3.978005533485096e-17,2.7755575615628914e-16,True,20260227,12,30
20260228,6,10,0.14023200469011507,0.5298973357020511,4.8977026138411855e-17,6.106226635438361e-16,True,20260228,6,10
20260228,6,20,0.11953970972734097,0.4077578010425246,4.75675633141807e-17,5.551115123125783e-16,True,20260228,6,20
