case_id,seed,nx,alpha1_val,alpha2_val,alpha_mod_amp,theta1_base,theta1_amp,theta1_center,theta1_width,theta2_base,theta2_amp,theta2_center,theta2_width,n_angle_fine,max_abs_spatial_err,max_abs_antisym_err,max_abs_angle_err,rmse_angle,r2_angle,ratio_mean,ratio_std,pass_spatial_tol,pass_antisym_tol,pass_angle_tol,pass_ratio_std_tol,pass_r2_min,pass_all
26,20260220,96,0.2302617052909828,0.5550201706961271,0.2802513826590313,0.5302686642004462,0.17688887518699756,1.4975170717487833,0.2811688725779662,0.6246893658015032,0.3079915274561968,4.126918331162599,0.29858491860701053,85,2.220446049250313e-16,0.0,1.1102230246251565e-16,4.9366434398823916e-17,1.0,0.691826201716625,1.274654565308861e-12,True,True,True,True,True,True
27,20260220,320,0.1723653077534067,0.2761350092161201,0.2770504693386449,0.636034148089715,0.5148819690096773,1.8329756293156423,0.7087246839250928,0.18692097444059133,0.2169927860872185,5.244171744746188,0.5502568107759598,46,1.1102230246251565e-16,0.0,1.1102230246251565e-16,4.270457042176762e-17,1.0,0.2458290088554106,2.7068553766979183e-13,True,True,True,True,True,True
28,20260220,128,0.34103234556901624,1.108476748261081,0.15924761184369587,0.167629771039046,0.5639197349162917,1.7933931576435358,0.7855299758458937,0.24546810946317937,0.5621629413824006,5.7207992169959505,0.7983859849141636,65,2.220446049250313e-16,0.0,1.1102230246251565e-16,5.861841247071636e-17,1.0,0.3910355177266666,5.81813689815477e-13,True,True,True,True,True,True
29,20260220,96,0.28199732891567514,0.5753852533822232,0.023504323926120962,0.3140157634852594,0.24964229120908135,2.313801406351638,0.7124700834510054,0.6580380875673745,0.27303675286837853,4.7994921818684935,0.7867669466417577,89,2.220446049250313e-16,0.0,2.220446049250313e-16,8.031171672456204e-17,1.0,0.7497374187877439,1.4308548625615285e-12,True,True,True,True,True,True
30,20260220,320,0.6355635839098077,0.8611047864119542,0.2829954081196982,0.47205170819466125,0.5302503310490396,1.93851656464583,0.5912510990593294,0.43900944144913134,0.2249672732894288,5.206279298429674,0.3792185885143762,29,1.1102230246251565e-16,0.0,1.6653345369377348e-16,9.96855928080179e-17,1.0,0.49198075244544953,3.400333841168308e-13,True,True,True,True,True,True
31,20260220,96,0.498678539144664,1.1273017692348815,0.025302274186161614,0.1799826974077371,0.387068799984367,2.0770612037537113,0.8061126318635435,0.7740324637434615,0.19813115096165282,4.239089167854904,0.5418157140984249,50,2.220446049250313e-16,0.0,1.1102230246251565e-16,6.360358361118805e-17,1.0,0.8320321284821823,9.88173340428704e-13,True,True,True,True,True,True
32,20260220,320,0.12910855600458027,0.4263749711176922,0.0580575559743359,0.4978736956473999,0.08872516407368873,1.6496902890570506,0.720723152068068,0.6343793643107277,0.5505237229122891,3.7281192655338034,0.7311895422608615,40,2.220446049250313e-16,0.0,1.1102230246251565e-16,7.008798088404812e-17,1.0,0.8219069224830848,7.930844231547658e-13,True,True,True,True,True,True
33,20260220,160,0.5099812810333322,1.0860490292227203,0.16267859602296292,0.5267940286599828,0.1783690472005058,1.9549073174596179,0.41118808087971026,0.5724622312125172,0.4597612685022004,4.032124600051514,0.20472556953034585,31,2.220446049250313e-16,0.0,1.1102230246251565e-16,6.895107872889655e-17,1.0,0.6554527188710453,4.873964226233597e-13,True,True,True,True,True,True
34,20260220,128,0.2376402455330629,0.6535607927827302,0.09775204103716753,0.36735497951070545,0.354601843395522,1.2972752738134097,0.5357040077580995,0.7751875028237445,0.08777369906366461,3.48393822838779,0.1685729397790014,38,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.9376660559074565e-16,1.0,0.7895645069502847,7.245428197856389e-13,True,True,True,True,True,True
35,20260220,256,0.36554126706933004,0.5558008958923851,0.09463928966594466,0.4517622447575607,0.26738380068138884,0.9478260901242955,0.174566599068502,0.3897146465295651,0.11885728061650369,3.6151341347716976,0.7422652035402755,69,1.1102230246251565e-16,0.0,1.6653345369377348e-16,7.463285661117626e-17,1.0,0.43052441738910074,6.726736573140688e-13,True,True,True,True,True,True
36,20260220,128,0.4446553763311364,0.7265727592989106,0.2206023317826898,0.4847217986742768,0.1120439591805274,1.0306298178577675,0.8322091923980426,0.6823967556724526,0.4500498072797289,5.602511622481063,0.2586257415993302,26,2.220446049250313e-16,0.0,2.220446049250313e-16,1.0213473085517454e-16,1.0,0.7647191347663641,4.663526129142774e-13,True,True,True,True,True,True
37,20260220,128,0.5747542025462123,0.7706613457438425,0.21417207713664604,0.6051953441751123,0.41925175047493524,2.249714486561608,0.7927122954568374,0.6700343190625034,0.1478908213303719,4.409901273615486,0.4424432067360065,77,2.220446049250313e-16,0.0,2.220446049250313e-16,8.315588609869521e-17,1.0,0.7091722694143271,1.2097322443663934e-12,True,True,True,True,True,True
38,20260220,96,0.3562572461819884,1.0177862191633433,0.12177405482012742,0.4780311559888856,0.4822662720170512,1.9426070766903742,0.8691858483657292,0.7376620966827268,0.26353535445215936,3.9659720231209104,0.3130643034720006,45,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.460578105317524e-16,1.0,0.7964863152522172,8.59368448654368e-13,True,True,True,True,True,True
