case_id,phi_target,Delta_mu,K_layers,beta,r_amp,alpha_state,max_rel_error,median_rel_error,cross_profile_spread_Lambda_num,cross_profile_std_Lambda_num,cross_profile_spread_Lambda_theory
21,1.5637915814306362,3.1867629379399682,64,-0.5321535031630216,0.7186735241854498,0.4914890154340452,1.2995241308093227e-15,3.712926088026636e-16,8.881784197001252e-16,3.737567639961684e-16,0.0
22,-1.27919437025684,1.2520972638083414,192,0.3188527777800622,0.20639056301975464,0.5242273951877721,9.720719368973823e-16,4.860359684486915e-16,2.498001805406602e-16,1.0868472903575298e-16,1.1102230246251565e-16
23,2.6816697027966065,3.857483944813373,192,0.11286584050987342,0.4765286977011164,0.5313401136595413,1.6521346438762521e-15,1.2015524682736636e-15,4.496403249731884e-15,1.9966659672768448e-15,3.969047313034935e-15
24,2.0899062804576958,3.905541717794867,64,0.2302806203277792,0.13138395405686307,0.20134632819350473,3.1042422762761783e-16,1.5521211381380896e-16,1.3877787807814457e-17,5.665583147960493e-18,1.3877787807814457e-17
25,2.562881618382219,1.9659589441811456,192,-0.4989767239279676,0.39007087150082637,0.6493681232266902,4.0519013628922863e-16,2.7012675752615296e-16,4.440892098500626e-16,1.896066778761455e-16,4.163336342344337e-16
26,-1.956125199243661,3.4050497087510343,128,0.36964986979745723,0.5162794571931943,0.6314444898471032,7.305334144880765e-16,1.217555690813459e-16,1.1102230246251565e-15,4.902612130890298e-16,7.216449660063518e-16
27,0.24963179676763422,1.2173291456865167,96,0.46657756986053744,0.05867857359234998,0.9928072665536736,1.307554257338494e-16,1.3075542573384936e-16,5.204170427930421e-18,2.2395183775777386e-18,5.204170427930421e-18
28,0.32958061973643377,0.7547667866524731,128,0.5811045895204645,0.2624243474910028,0.34289271592956183,2.580174230935534e-16,2.580174230935533e-16,6.938893903907228e-17,2.9165374312205035e-17,4.85722573273506e-17
29,1.288762499506813,3.0131995891454935,64,-0.46919179224761787,0.8517607155110355,0.8935504687811037,4.1683141915657305e-16,1.3894380638552448e-16,3.3306690738754696e-16,1.4332917616497527e-16,7.771561172376096e-16
30,1.3286660090978177,1.8839015654056817,160,0.5308805213686812,0.16022677908635985,1.3354733026470313,3.9348768327936636e-16,1.967438416396831e-16,4.163336342344337e-17,1.791614702062191e-17,5.551115123125783e-17
31,-1.264185208812538,1.6103126707664692,160,0.3958886373381661,1.0096424301487938,0.7566994734162633,8.087208818985018e-16,4.621262182277158e-16,1.6653345369377348e-15,6.933340566559918e-16,1.1102230246251565e-15
32,0.8313625045441292,3.8280232903344027,128,0.5663599617681344,0.43427855958448564,0.5289980341986347,3.9708255883568594e-16,1.9854127941784297e-16,1.6653345369377348e-16,7.850462293418876e-17,2.7755575615628914e-16
33,0.992995224022278,2.265929747949763,64,0.18062555079172674,0.8980382224584538,0.3051594991332548,1.2875449108533574e-16,1.2875449108533564e-16,2.220446049250313e-16,1.0629576194313574e-16,3.3306690738754696e-16
34,-2.223029373488547,2.9295898685757202,128,0.4312353043349554,0.529326602637263,0.8783097383527452,9.398886927661755e-16,4.028094397569321e-16,1.4988010832439613e-15,6.15648449243079e-16,1.2212453270876722e-15
35,1.9551490114016752,3.4683411122668684,64,0.4106471916424932,1.138682136424229,0.2021757561659455,4.0099644079160137e-16,4.0099644079160117e-16,5.551115123125783e-16,2.3551386880256624e-16,3.3306690738754696e-16
36,-1.0862080404156982,2.153270209662594,96,0.08807086437248275,0.5747882027985715,0.2941686824940703,3.933219250219503e-16,1.966609625109751e-16,2.220446049250313e-16,9.064933036736789e-17,1.6653345369377348e-16
37,1.3815020365972484,0.7954340565296423,128,0.05907908404003894,0.5678129641697435,0.19857425171094,2.573517324010052e-16,1.286758662005026e-16,1.1102230246251565e-16,4.5324665183683945e-17,1.6653345369377348e-16
38,2.1358712918384675,3.8926117617997815,160,0.5032156201035873,0.11247801791175298,0.1915473496661882,1.172515353167733e-15,5.862576765838666e-16,4.163336342344337e-17,1.791614702062191e-17,2.7755575615628914e-17
39,-1.3051146133770182,2.148718533823833,192,0.37326832561892914,0.05080898076014541,0.14811090806186877,4.848576870429742e-16,1.2121442176074367e-16,1.3877787807814457e-17,5.9252086836295466e-18,1.214306433183765e-17
40,-1.7500283647931132,3.470879066536985,96,0.4253408755589029,0.9708279270907788,0.6505308607858512,8.440606512947695e-16,4.823203721684396e-16,1.6653345369377348e-15,7.079939031228903e-16,7.771561172376096e-16
41,-0.9011232563589398,2.0904974539303587,128,-0.4571163950857948,0.11556743314486037,1.0813390343559643,1.8455819637059629e-16,1.8455819637059592e-16,1.3877787807814457e-16,6.257841124211592e-17,1.5265566588595902e-16
42,2.7339373320949774,2.01265255752446,128,-0.31014809429224427,0.8922089533122524,1.2367336323032845,2.913145928150235e-15,1.139926667537066e-15,3.747002708109903e-15,1.5686198063741043e-15,3.3584246494910985e-15
43,-2.6072870959564867,2.468690689229571,96,-0.5436886855559905,1.1378693566635205,1.0811048000926644,6.9239694960337585e-16,5.769974580028171e-16,3.164135620181696e-15,1.292349197304123e-15,3.219646771412954e-15
44,2.967390958143525,2.226633788870909,192,-0.19415048187805278,0.36512054026244806,0.05432388582808746,3.918375119888501e-15,1.2639919741575649e-15,5.551115123125783e-16,2.503191549818112e-16,5.898059818321144e-16
45,-0.8778274123274278,3.0313496326257545,96,-0.5380007503261858,0.9379171083994452,0.35031913112849894,5.966212501941234e-16,4.772970001552988e-16,3.3306690738754696e-16,1.4332917616497527e-16,1.6653345369377348e-16
46,-1.6291581039172116,2.142358500150834,128,-0.15451628929798225,1.1555377862856475,0.9934582197551081,2.1044299386685187e-16,2.1044299386685187e-16,4.440892098500626e-16,2.220446049250313e-16,0.0
47,-2.284521264085581,2.694201597071776,64,0.529129928216088,0.6597710084507374,1.4042135585116944,6.806760960910916e-16,1.7016902402277323e-16,3.885780586188048e-16,1.594436429147036e-16,3.885780586188048e-16
48,-1.6202011162541408,3.4498693983818796,128,-0.3277755425697187,0.5048511660588646,1.152202659092666,2.9643326742014915e-16,1.4821663371007463e-16,5.551115123125783e-17,4.5324665183683945e-17,1.1102230246251565e-16
49,1.3066638646188848,2.9166123078718718,96,0.013668217407078354,0.9239720813046334,0.8839528014277434,3.807969349418611e-16,2.53864623294574e-16,9.992007221626409e-16,4.2998752849492583e-16,5.551115123125783e-16
50,-2.015391440711505,1.9714616877905375,64,0.4253613198142125,0.3433542784580667,0.20892234491885509,4.4131687105781377e-16,2.2065843552890664e-16,2.220446049250313e-16,9.878281759274735e-17,1.3877787807814457e-16
51,-0.7900161259101324,3.176156455866618,128,0.19186930878283634,0.48927007041370413,0.43776765053474137,6.2398546204758e-16,2.079951540158601e-16,3.3306690738754696e-16,1.5700924586837752e-16,2.7755575615628914e-16
52,-2.082886694059751,3.986739088297333,192,0.23573058320378282,0.24909107011150539,0.5877996035985837,8.309997145028113e-16,4.154998572514054e-16,1.3877787807814457e-16,6.607148558400768e-17,1.1102230246251565e-16
53,-2.3893418368400607,2.902398525412958,96,-0.014460324057305927,0.826513993711864,0.7204757642736563,7.930310075973249e-16,3.9651550379866493e-16,4.107825191113079e-15,1.782129870021873e-15,3.4416913763379853e-15
