case_id,profile,scale,phi_total,phi_target,Lambda_numerical,Lambda_theory,rel_error,rel_error_pct
13,constant,-0.19974671348273074,-0.5451230376931802,-0.5451230376931795,-0.017140365227895284,-0.017140365227895284,0.0,0.0
13,gaussian,-0.6214116618668248,-0.5451230376931795,-0.5451230376931795,-0.017140365227895263,-0.017140365227895263,0.0,0.0
13,oscillating,1.4850830670314505,-0.5451230376931796,-0.5451230376931795,-0.017140365227895277,-0.017140365227895266,6.0724148625030885e-16,6.072414862503088e-14
14,constant,0.2440299837994396,0.5315961672416056,0.5315961672416065,0.50672645437107,0.5067264543710701,2.1909711147864217e-16,2.1909711147864217e-14
14,gaussian,0.6070641728411803,0.5315961672416064,0.5315961672416065,0.5067264543710707,0.5067264543710708,2.190971114786419e-16,2.190971114786419e-14
14,oscillating,-1.1343328548301221,0.5315961672416067,0.5315961672416065,0.5067264543710711,0.506726454371071,2.190971114786418e-16,2.190971114786418e-14
15,constant,-0.8537850243673201,-2.9986114379266313,-2.998611437926639,-0.07287895021188785,-0.07287895021188776,1.3329571072615972e-15,1.3329571072615972e-13
15,gaussian,-3.417924343403692,-2.9986114379266406,-2.998611437926639,-0.0728789502118831,-0.07287895021188304,9.521122194726311e-16,9.521122194726311e-14
15,oscillating,-8.885767496535639,-2.9986114379266393,-2.998611437926639,-0.07287895021188384,-0.07287895021188372,1.7138019950507198e-15,1.7138019950507199e-13
16,constant,-0.279945130485585,-0.3570613754292468,-0.3570613754292475,-0.023538968584125474,-0.023538968584125467,2.94783260324604e-16,2.9478326032460405e-14
16,gaussian,-0.43690072698192145,-0.3570613754292474,-0.3570613754292475,-0.023538968584125516,-0.023538968584125505,4.4217489048690536e-16,4.421748904869054e-14
16,oscillating,-1.2823494884195514,-0.35706137542924765,-0.3570613754292475,-0.023538968584125512,-0.023538968584125523,4.42174890486905e-16,4.42174890486905e-14
17,constant,-0.541874378983651,-1.333122360949123,-1.3331223609491194,-0.2795786998175005,-0.2795786998175005,0.0,0.0
17,gaussian,-1.5202106450821153,-1.3331223609491185,-1.3331223609491194,-0.27957869981750005,-0.2795786998175002,5.956585884492647e-16,5.956585884492647e-14
17,oscillating,2.7252067693363444,-1.3331223609491183,-1.3331223609491194,-0.2795786998175001,-0.2795786998175002,3.9710572563284314e-16,3.971057256328431e-14
18,constant,-1.5695861036244851,-2.3515677098469916,-2.351567709846999,-0.7451711973715697,-0.7451711973715708,1.4898898783812701e-15,1.4898898783812701e-13
18,gaussian,-2.769974340235475,-2.3515677098469974,-2.351567709846999,-0.7451711973715662,-0.7451711973715666,4.469669635143836e-16,4.469669635143836e-14
18,oscillating,-32.51104150170738,-2.351567709847,-2.351567709846999,-0.7451711973715635,-0.7451711973715646,1.4898898783812825e-15,1.4898898783812825e-13
19,constant,-1.5193567158234702,-2.149378563674123,-2.1493785636741234,-0.27494484857154816,-0.2749448485715483,4.037984455403396e-16,4.037984455403396e-14
