n,epsilon,dS_hor_avg,dQ_in,dQ_avg,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
33,0.6,0.0063,0.005974418652769896,-0.005974418652769896,1.0942247691547442,0.027680846639029477,0.00875,-0.024271590678564502,-0.08207245769965876,0.9704194543754645,1.53
34,0.6,0.0054,0.003963399636430505,-0.003963399636430505,1.1175209604405636,0.02329619128581939,0.0075,-0.024271590678564502,-0.08124622490402462,0.9704194543754645,1.575
35,0.6,0.0027,0.005003656838195473,-0.005003656838195473,1.1295299593885844,0.012008998948020766,0.00375,-0.024271590678564502,-0.08083310850620755,0.9704194543754647,1.5975
36,0.6,0.0027,0.0008130898614496308,-0.0008130898614496308,1.1410652797321408,0.011535320343556421,0.00375,-0.024271590678564502,-0.08041999210839046,0.9704194543754647,1.62
37,0.6,0.0036,0.002434167360475111,-0.002434167360475111,1.1561624547191498,0.015097174987009021,0.005,-0.024271590678564502,-0.07986917024463437,0.9704194543754647,1.65
38,0.6,0.0027,0.0030026402016898896,-0.0030026402016898896,1.1680873948807826,0.011924940161632813,0.00375,-0.024271590678564502,-0.07945605384681728,0.9704194543754645,1.6725
39,0.6,0.0045000000000000005,0.0026686709848614543,-0.0026686709848614543,1.186751454195658,0.01866405931487547,0.00625,-0.024271590678564502,-0.07876752651712217,0.9704194543754647,1.71
40,0.6,0.0027,0.0017997090595405667,-0.0017997090595405667,1.1980783366158763,0.011326882420218176,0.00375,-0.024271590678564502,-0.0783544101193051,0.9704194543754647,1.7325
41,0.6,0.0063,0.0069357491450976125,-0.0069357491450976125,1.2237545473836988,0.02567621076782256,0.00875,-0.024271590678564502,-0.07739047185773193,0.9704194543754647,1.785
42,0.6,0.0063,0.005304992787536089,-0.005304992787536089,1.249333339340372,0.02557879195667323,0.00875,-0.024271590678564502,-0.07642653359615875,0.9704194543754645,1.8375
43,0.6,0.0054,0.004164750470577249,-0.004164750470577249,1.2714901043690956,0.022156765028723546,0.0075,-0.024271590678564502,-0.0756003008005246,0.9704194543754647,1.8825
44,0.6,0.0072,0.005156087863525834,-0.005156087863525834,1.2992339048089492,0.027743800439853583,0.01,-0.024271590678564502,-0.07449865707301241,0.9704194543754647,1.9425
45,0.6,0.0054,0.005324631965182549,-0.005324631965182549,1.3199474079502587,0.020713503141309486,0.0075,-0.024271590678564502,-0.07367242427737825,0.9704194543754647,1.9875
46,0.6,0.0045,0.003486783446354478,-0.003486783446354478,1.3372345809525725,0.01728717300231386,0.00625,-0.024271590678564502,-0.07298389694768313,0.9704194543754645,2.025
47,0.6,0.0054,0.004367151884944814,-0.004367151884944814,1.3577310763850932,0.020496495432520634,0.0075,-0.024271590678564502,-0.07215766415204898,0.9704194543754647,2.07
48,0.6,0.0027,0.0018352890210055761,-0.0018352890210055761,1.3678962613840382,0.010165184998945032,0.00375,-0.024271590678564502,-0.0717445477542319,0.9704194543754645,2.0925
49,0.6,0.0036,0.004431585756869859,-0.004431585756869859,1.3813230687217621,0.013426807337723945,0.005,-0.024271590678564502,-0.0711937258904758,0.9704194543754645,2.1225
50,0.6,0.0063,0.005081557805199135,-0.005081557805199135,1.40443608925553,0.02311302053376796,0.00875,-0.024271590678564502,-0.07022978762890263,0.9704194543754645,2.175
51,0.6,0.0063,0.005094799993410159,-0.005094799993410159,1.4271627388385948,0.022726649583064695,0.00875,-0.024271590678564502,-0.06926584936732946,0.9704194543754645,2.2275
52,0.6,0.0018,0.0014767413363542118,-0.0014767413363542118,1.4334306260205107,0.006267887181915954,0.0025,-0.024271590678564502,-0.06899043843545141,0.9704194543754647,2.2425
53,0.6,0.0045000000000000005,0.003850625268979224,-0.003850625268979224,1.4496849989824059,0.016254372961895136,0.00625,-0.024271590678564502,-0.06830191110575629,0.9704194543754647,2.28
54,0.6,0.0036,0.003877997588857738,-0.003877997588857738,1.4619546473271865,0.012269648344780615,0.005,-0.024271590678564502,-0.06775108924200018,0.9704194543754645,2.31
55,0.6,0.0045000000000000005,0.004137908880611402,-0.004137908880611402,1.478396062377961,0.016441415050774566,0.00625,-0.024271590678564502,-0.06706256191230507,0.9704194543754645,2.3475
56,0.6,0.0027,0.0017157873354234632,-0.0017157873354234632,1.4880537795816977,0.009657717203736649,0.00375,-0.024271590678564502,-0.06664944551448798,0.9704194543754645,2.37
57,0.6,0.0045000000000000005,0.0032467944617741323,-0.0032467944617741323,1.5034382084477176,0.015384428866019872,0.00625,-0.024271590678564502,-0.06596091818479287,0.9704194543754645,2.4075
58,0.6,0.0009,0.00023078276860524465,-0.00023078276860524465,1.5063932258935462,0.0029550174458286005,0.00125,-0.024271590678564502,-0.06582321271885384,0.9704194543754645,2.415
59,0.6,0.0063,0.005266782490363858,-0.005266782490363858,1.5275423836375426,0.021149157743996394,0.00875,-0.024271590678564502,-0.06485927445728067,0.9704194543754645,2.4675
60,0.6,0.0045,0.0022528046602062405,-0.0022528046602062405,1.5429965794408504,0.015454195803307869,0.00625,-0.024271590678564502,-0.06417074712758555,0.9704194543754647,2.505
61,0.6,0.0027,0.0019523376831296175,-0.0019523376831296175,1.5518237690909245,0.008827189650074008,0.00375,-0.024271590678564502,-0.06375763072976846,0.9704194543754645,2.5275
62,0.6,0.0054,0.004145719737499906,-0.004145719737499906,1.5696479333456241,0.01782416425469968,0.0075,-0.024271590678564502,-0.06293139793413433,0.9704194543754645,2.5725
63,0.6,0.0045000000000000005,0.0036897021253453287,-0.0036897021253453287,1.5839449021364964,0.014296968790872278,0.00625,-0.024271590678564502,-0.06224287060443919,0.9704194543754645,2.61
64,0.6,0.0027,0.003823907427428724,-0.003823907427428724,1.5927010336979535,0.008756131561457048,0.00375,-0.024271590678564502,-0.06182975420662213,0.9704194543754645,2.6325
65,0.6,0.006299999999999999,0.004553929457969643,-0.004553929457969643,1.6131027251385297,0.02040169144057624,0.00875,-0.024271590678564502,-0.060865815945048946,0.9704194543754645,2.685
66,0.6,0.0027,0.0010625168838715399,-0.0010625168838715399,1.6216260867990815,0.008523361660551787,0.00375,-0.024271590678564502,-0.06045269954723187,0.9704194543754645,2.7075
67,0.6,0.0027,-0.00012236057295678156,0.00012236057295678156,1.6302560443728118,0.008629957573730307,0.00375,-0.024271590678564502,-0.06003958314941481,0.9704194543754645,2.73
68,0.6,0.0072,0.0001426069746730054,-0.0001426069746730054,1.6531400398344425,0.02288399546163067,0.01,-0.024271590678564502,-0.058937939421902605,0.9704194543754645,2.79
69,0.6,0.0063,0.00401757647954309,-0.00401757647954309,1.6727391103964087,0.019599070561966192,0.00875,-0.024271590678564502,-0.05797400116032943,0.9704194543754645,2.8425
70,0.6,0.0018,0.0007260019325138775,-0.0007260019325138775,1.6782490492123348,0.0055099388159260965,0.0025,-0.024271590678564502,-0.057698590228451384,0.9704194543754645,2.8575
71,0.6,0.0045000000000000005,0.003365473056307311,-0.003365473056307311,1.691668822858159,0.01341977364582414,0.00625,-0.024271590678564502,-0.05701006289875625,0.9704194543754645,2.895
72,0.6,0.0045000000000000005,0.005018125485375197,-0.005018125485375197,1.7048895165826872,0.013220693724528276,0.00625,-0.024271590678564502,-0.05632153556906113,0.9704194543754645,2.9325
73,0.6,0.0027,0.0026183158763787785,-0.0026183158763787785,1.7127298271971187,0.007840310614431578,0.00375,-0.024271590678564502,-0.055908419171244055,0.9704194543754645,2.955
74,0.6,0.0036,0.002105006809624366,-0.002105006809624366,1.7227994696216964,0.01006964242457764,0.005,-0.024271590678564502,-0.05535759730748795,0.9704194543754645,2.985
75,0.6,0.0036,0.0031000264594770897,-0.0031000264594770897,1.7333775247898875,0.010578055168191103,0.005,-0.024271590678564502,-0.05480677544373186,0.9704194543754645,3.015
76,0.6,0.0036,0.0028507341918121766,-0.0028507341918121766,1.7436346090376356,0.010257084247748072,0.005,-0.024271590678564502,-0.05425595357997576,0.9704194543754645,3.045
77,0.6,0.0081,0.006406269899651508,-0.006406269899651508,1.7665086940117192,0.02287408497408361,0.01125,-0.024271590678564502,-0.053016604386524536,0.9704194543754645,3.1125
78,0.6,0.0018,0.0010187084819799326,-0.0010187084819799326,1.7716532332612358,0.005144539249516633,0.0025,-0.024271590678564502,-0.05274119345464649,0.9704194543754645,3.1275
79,0.6,0.0045,0.004320308641937687,-0.004320308641937687,1.7840255058015586,0.012372272540322804,0.00625,-0.024271590678564502,-0.05205266612495136,0.9704194543754647,3.165
80,0.6,0.0036,0.0029467450806296134,-0.0029467450806296134,1.7936116901626578,0.009586184361099148,0.005,-0.024271590678564502,-0.05150184426119527,0.9704194543754645,3.195
81,0.6,0.0027,0.0029514560557293407,-0.0029514560557293407,1.8011033407612191,0.0074916505985613835,0.00375,-0.024271590678564502,-0.05108872786337819,0.9704194543754645,3.2175
82,0.6,0.0027,0.002679431224893765,-0.002679431224893765,1.808307697928559,0.007204357167339914,0.00375,-0.024271590678564502,-0.05067561146556112,0.9704194543754645,3.24
83,0.6,0.0045000000000000005,0.002464953484275833,-0.002464953484275833,1.8203900635046293,0.012082365576070231,0.00625,-0.024271590678564502,-0.04998708413586599,0.9704194543754647,3.2775
84,0.6,0.0036,0.005118490356135652,-0.005118490356135652,1.8299811634748306,0.009591099970201356,0.005,-0.024271590678564502,-0.04943626227210989,0.9704194543754645,3.3075
85,0.6,0.0009,0.0007967726814446468,-0.0007967726814446468,1.8323804727048634,0.0023993092300327312,0.00125,-0.024271590678564502,-0.04929855680617087,0.9704194543754645,3.315
86,0.6,0.0009,0.0007192638785636453,-0.0007192638785636453,1.8346993123304012,0.002318839625537805,0.00125,-0.024271590678564502,-0.04916085134023184,0.9704194543754645,3.3225
87,0.6,0.0018,0.0012295683082371263,-0.0012295683082371263,1.8394425777782284,0.004743265447827216,0.0025,-0.024271590678564502,-0.04888544040835379,0.9704194543754645,3.3375
88,0.6,0.0018,0.0013496106872017191,-0.0013496106872017191,1.8440790934895195,0.004636515711291089,0.0025,-0.024271590678564502,-0.04861002947647574,0.9704194543754645,3.3525
89,0.6,0.0018,0.0001822798503926329,-0.0001822798503926329,1.8484392301473984,0.0043601366578789325,0.0025,-0.024271590678564502,-0.04833461854459769,0.9704194543754645,3.3675
90,0.6,0.0027,0.0015451046620664393,-0.0015451046620664393,1.8551912874419043,0.006752057294505898,0.00375,-0.024271590678564502,-0.04792150214678062,0.9704194543754647,3.39
91,0.6,0.0054,0.004359811760352939,-0.004359811760352939,1.8688778123632535,0.013686524921349141,0.0075,-0.024271590678564502,-0.04709526935114647,0.9704194543754645,3.435
92,0.6,0.0009,0.001242287908927284,-0.001242287908927284,1.8710289305041707,0.0021511181409172853,0.00125,-0.024271590678564502,-0.04695756388520745,0.9704194543754645,3.4425
93,0.6,0.0027,0.0030522651469603,-0.0030522651469603,1.877622024454804,0.006593093950633344,0.00375,-0.024271590678564502,-0.046544447487390374,0.9704194543754645,3.465
94,0.6,0.0045000000000000005,0.00337020899378441,-0.00337020899378441,1.8886595538540858,0.01103752939928171,0.00625,-0.024271590678564502,-0.045855920157695254,0.9704194543754647,3.5025
95,0.6,0.0018,0.0027561148667358958,-0.0027561148667358958,1.8930362109717394,0.00437665711765356,0.0025,-0.024271590678564502,-0.0455805092258172,0.9704194543754647,3.5175
96,0.6,0.0,-0.0,0.0,1.8930362109717394,0.0,0.0,-0.024271590678564502,-0.0455805092258172,0.9704194543754647,3.5175
97,0.6,0.0018,0.0014942157991071994,-0.0014942157991071994,1.897566948810142,0.004530737838402743,0.0025,-0.024271590678564502,-0.04530509829393915,0.9704194543754647,3.5325
98,0.6,0.0036,0.001450517985605585,-0.001450517985605585,1.9060923914943304,0.008525442684188311,0.005,-0.024271590678564502,-0.04475427643018305,0.9704194543754645,3.5625
99,0.6,0.0045,0.0030031592808768006,-0.0030031592808768006,1.9163397143332477,0.010247322838917272,0.00625,-0.024271590678564502,-0.04406574910048793,0.9704194543754647,3.6
100,0.6,0.0054,0.00277295941966189,-0.00277295941966189,1.9287202753652417,0.01238056103199403,0.0075,-0.024271590678564502,-0.04323951630485378,0.9704194543754647,3.645
101,0.6,0.0018,0.002268375549443165,-0.002268375549443165,1.932818934060867,0.004098658695625312,0.0025,-0.024271590678564502,-0.04296410537297573,0.9704194543754647,3.66
102,0.6,0.0018,0.00029339505819312524,-0.00029339505819312524,1.9367276966641582,0.003908762603291205,0.0025,-0.024271590678564502,-0.04268869444109768,0.9704194543754645,3.675
103,0.6,0.0054,0.0032884935000298005,-0.0032884935000298005,1.9486460127333978,0.011918316069239543,0.0075,-0.024271590678564502,-0.04186246164546353,0.9704194543754647,3.72
104,0.6,0.0054,0.005392151189903395,-0.005392151189903395,1.9601130164680147,0.011467003734616954,0.0075,-0.024271590678564502,-0.04103622884982938,0.9704194543754645,3.765
105,0.6,0.0027,0.002285632059863292,-0.002285632059863292,1.966105651908993,0.005992635440978278,0.00375,-0.024271590678564502,-0.04062311245201231,0.9704194543754645,3.7875
106,0.6,0.0027,0.004224256411885718,-0.004224256411885718,1.9720291174211046,0.0059234655121116475,0.00375,-0.024271590678564502,-0.04020999605419523,0.9704194543754647,3.81
107,0.6,0.0018,0.0011196417988001107,-0.0011196417988001107,1.97590061889007,0.0038715014689654215,0.0025,-0.024271590678564502,-0.039934585122317186,0.9704194543754647,3.825
108,0.6,0.0018,0.0019149894689527358,-0.0019149894689527358,1.9794197282663153,0.003519109376245222,0.0025,-0.024271590678564502,-0.039659174190439135,0.9704194543754647,3.84
109,0.6,0.0009,0.0004427950224779285,-0.0004427950224779285,1.9811267411494575,0.0017070128831422338,0.00125,-0.024271590678564502,-0.03952146872450011,0.9704194543754645,3.8475
110,0.6,0.0018,0.0015245536803842497,-0.0015245536803842497,1.9851211426975433,0.003994401548085724,0.0025,-0.024271590678564502,-0.03924605779262206,0.9704194543754645,3.8625
111,0.6,0.0018,0.00129758886880845,-0.00129758886880845,1.9890155830081673,0.0038944403106240255,0.0025,-0.024271590678564502,-0.038970646860744015,0.9704194543754645,3.8775
112,0.6,0.0009,-0.0003816099589687298,0.0003816099589687298,1.9907871368270451,0.0017715538188778357,0.00125,-0.024271590678564502,-0.03883294139480498,0.9704194543754647,3.885
113,0.6,0.0009,0.0004978522263247541,-0.0004978522263247541,1.9924477794384652,0.0016606426114200712,0.00125,-0.024271590678564502,-0.038695235928865965,0.9704194543754645,3.8925
114,0.6,0.0027,0.0011383096099410511,-0.0011383096099410511,1.9976792857556145,0.005231506317149304,0.00375,-0.024271590678564502,-0.03828211953104888,0.9704194543754645,3.915
115,0.6,0.0,-0.0,0.0,1.9976792857556145,0.0,0.0,-0.024271590678564502,-0.03828211953104888,0.9704194543754645,3.915
116,0.6,0.0009,0.0009757722568320464,-0.0009757722568320464,1.9993483744968668,0.001669088741252267,0.00125,-0.024271590678564502,-0.03814441406510986,0.9704194543754647,3.9225
117,0.6,0.0,-0.0,0.0,1.9993483744968668,0.0,0.0,-0.024271590678564502,-0.03814441406510986,0.9704194543754647,3.9225
118,0.6,0.0036,0.004869633788526499,-0.004869633788526499,2.0068206513602114,0.007472276863344618,0.005,-0.024271590678564502,-0.03759359220135376,0.9704194543754647,3.9525
119,0.6,0.0009,0.000885840156937638,-0.000885840156937638,2.008704547686845,0.0018838963266336606,0.00125,-0.024271590678564502,-0.037455886735414744,0.9704194543754647,3.96
120,0.6,0.0009,0.0006311255991529644,-0.0006311255991529644,2.0103311270650135,0.0016265793781684579,0.00125,-0.024271590678564502,-0.03731818126947571,0.9704194543754647,3.9675
121,0.6,0.0009,-0.0003730584899533447,0.0003730584899533447,2.0120206473305804,0.0016895202655669017,0.00125,-0.024271590678564502,-0.03718047580353669,0.9704194543754645,3.975
122,0.6,0.0045000000000000005,0.004059353699616802,-0.004059353699616802,2.020698407091327,0.008677759760746806,0.00625,-0.024271590678564502,-0.036491948473841566,0.9704194543754647,4.0125
