n,epsilon,dS_hor_avg,dQ_in,dQ_avg,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
13,0.15,0.0036,0.0009333880792132979,-0.0009333880792132979,0.629734346756577,0.0203379443513535,0.005,-0.024271590678564502,-0.09639382615731734,0.9704194543754647,0.75
14,0.15,0.0072,0.0005170998458468459,-0.0005170998458468459,0.6707036403423017,0.04096929358572465,0.01,-0.024271590678564502,-0.09529218242980514,0.9704194543754647,0.81
15,0.15,0.0063,-0.001047324799854494,0.001047324799854494,0.7054664926862042,0.03476285234390253,0.00875,-0.024271590678564502,-0.09432824416823196,0.9704194543754647,0.8625
16,0.15,0.0045,-0.0019829651537475513,0.0019829651537475513,0.7308020826257097,0.025335589939505465,0.00625,-0.024271590678564502,-0.09363971683853685,0.9704194543754647,0.9
17,0.15,0.0054,-0.0015987099318711068,0.0015987099318711068,0.7588193690675146,0.0280172864418049,0.0075,-0.024271590678564502,-0.0928134840429027,0.9704194543754645,0.945
18,0.15,0.0036,0.0009898173053189355,-0.0009898173053189355,0.777269568501766,0.018450199434251413,0.005,-0.024271590678564502,-0.0922626621791466,0.9704194543754647,0.975
19,0.15,0.0045000000000000005,-0.0002164565116181192,0.0002164565116181192,0.8011770495679638,0.023907481066197778,0.00625,-0.024271590678564502,-0.09157413484945148,0.9704194543754645,1.0125
20,0.15,0.009000000000000001,0.0021658612908575002,-0.0021658612908575002,0.845914640127412,0.04473759055944826,0.0125,-0.024271590678564502,-0.09019708019006123,0.9704194543754647,1.0875
21,0.15,0.0072,0.004209005020967104,-0.004209005020967104,0.8816103598599744,0.03569571973256236,0.01,-0.024271590678564502,-0.08909543646254903,0.9704194543754647,1.1475
22,0.15,0.0036,0.0006103889512737177,-0.0006103889512737177,0.8988935289899918,0.017283169130017373,0.005,-0.024271590678564502,-0.08854461459879293,0.9704194543754647,1.1775
23,0.15,0.0054,0.003797034915031291,-0.003797034915031291,0.9250939600918873,0.026200431101895516,0.0075,-0.024271590678564502,-0.08771838180315879,0.9704194543754645,1.2225
24,0.15,0.0036,0.0015084390318576952,-0.0015084390318576952,0.9424943709429143,0.01740041085102706,0.005,-0.024271590678564502,-0.08716755993940269,0.9704194543754645,1.2525
25,0.15,0.0045,0.003648021793308779,-0.003648021793308779,0.9631693308392859,0.02067495989637158,0.00625,-0.024271590678564502,-0.08647903260970756,0.9704194543754647,1.29
26,0.15,0.0045,0.00340459274946099,-0.00340459274946099,0.9838683612588981,0.020699030419612185,0.00625,-0.024271590678564502,-0.08579050528001245,0.9704194543754645,1.3275
27,0.15,0.0045000000000000005,-0.0009946283596773318,0.0009946283596773318,1.0051915113915102,0.0213231501326121,0.00625,-0.024271590678564502,-0.0851019779503173,0.9704194543754645,1.365
28,0.15,0.0036,0.00011905195658159923,-0.00011905195658159923,1.021482575829151,0.016291064437640834,0.005,-0.024271590678564502,-0.0845511560865612,0.9704194543754647,1.395
29,0.15,0.005399999999999999,-3.621455507640113e-05,3.621455507640113e-05,1.0453791676124153,0.02389659178326431,0.0075,-0.024271590678564502,-0.08372492329092707,0.9704194543754647,1.44
30,0.15,0.0054,0.0021194900512615457,-0.0021194900512615457,1.0695930489831886,0.024213881370773294,0.0075,-0.024271590678564502,-0.0828986904952929,0.9704194543754647,1.485
31,0.15,0.0045000000000000005,-0.00037552690371061225,0.00037552690371061225,1.0905686116709778,0.020975562687789218,0.00625,-0.024271590678564502,-0.08221016316559779,0.9704194543754645,1.5225
32,0.15,0.0036,0.0005515061589293512,-0.0005515061589293512,1.1060042936756405,0.01543568200466261,0.005,-0.024271590678564502,-0.08165934130184169,0.9704194543754647,1.5525
33,0.15,0.0036,0.002456762931151719,-0.002456762931151719,1.1218462602224148,0.01584196654677439,0.005,-0.024271590678564502,-0.08110851943808559,0.9704194543754645,1.5825
34,0.15,0.0072,0.0001617967114868142,-0.0001617967114868142,1.1513778781525312,0.029531617930116383,0.01,-0.024271590678564502,-0.08000687571057338,0.9704194543754645,1.6425
35,0.15,0.009000000000000001,7.583315073526497e-05,-7.583315073526497e-05,1.1891048400136008,0.03772696186106961,0.0125,-0.024271590678564502,-0.07862982105118314,0.9704194543754647,1.7175
36,0.15,0.0027,0.0020455174377563183,-0.0020455174377563183,1.200728921300626,0.01162408128702519,0.00375,-0.024271590678564502,-0.07821670465336607,0.9704194543754647,1.74
37,0.15,0.009,0.0016408159732589393,-0.0016408159732589393,1.2372576542167428,0.0365287329161168,0.0125,-0.024271590678564502,-0.07683964999397583,0.9704194543754645,1.815
38,0.15,0.0072,-0.0009473174411097204,0.0009473174411097204,1.2661139347442836,0.028856280527540745,0.01,-0.024271590678564502,-0.07573800626646363,0.9704194543754647,1.875
39,0.15,0.0063,-0.0004851142761465773,0.0004851142761465773,1.2907126397000788,0.024598704955795192,0.00875,-0.024271590678564502,-0.07477406800489045,0.9704194543754645,1.9275
40,0.15,0.0054,0.00011157472522154945,-0.00011157472522154945,1.3122378798819354,0.021525240181856642,0.0075,-0.024271590678564502,-0.07394783520925631,0.9704194543754647,1.9725
