seed,Nsamples,L_sites,K_layers,gamma_deph,eta0,"noncomm_norm_[U0,U1]",max_abs_balance_residual,mean_abs_balance_residual,balance_closure_ok_1e-10,seed_case,n_sites_case,k_layers_case,gamma_case,eta0_case
20260404,16,4,5,0.8,1.6,0.8802985854082106,1.1102230246251565e-16,1.4043890968771024e-17,True,20260404,4,5,0.8,1.6
20260405,16,4,3,0.1,0.2,1.0662702819607914,4.163336342344337e-17,5.763823919135721e-18,True,20260405,4,3,0.1,0.2
20260405,16,4,3,0.1,0.9,1.0662702819607914,5.551115123125783e-17,9.28583397120506e-18,True,20260405,4,3,0.1,0.9
20260405,16,4,3,0.1,1.6,1.0662702819607914,1.1102230246251565e-16,1.239646835522456e-17,True,20260405,4,3,0.1,1.6
20260405,16,4,3,0.35,0.2,1.0662702819607914,8.326672684688674e-17,9.279104765012985e-18,True,20260405,4,3,0.35,0.2
20260405,16,4,3,0.35,0.9,1.0662702819607914,1.1102230246251565e-16,1.150957780206335e-17,True,20260405,4,3,0.35,0.9
20260405,16,4,3,0.35,1.6,1.0662702819607914,2.220446049250313e-16,1.948034606527015e-17,True,20260405,4,3,0.35,1.6
20260405,16,4,3,0.8,0.2,1.0662702819607914,4.440892098500626e-16,1.9331174151781477e-17,True,20260405,4,3,0.8,0.2
20260405,16,4,3,0.8,0.9,1.0662702819607914,2.220446049250313e-16,2.5971253654851772e-17,True,20260405,4,3,0.8,0.9
20260405,16,4,3,0.8,1.6,1.0662702819607914,1.1102230246251565e-16,2.032013217508683e-17,True,20260405,4,3,0.8,1.6
20260405,16,4,4,0.1,0.2,1.0442646194114757,5.551115123125783e-17,6.185881613798155e-18,True,20260405,4,4,0.1,0.2
20260405,16,4,4,0.1,0.9,1.0442646194114757,5.551115123125783e-17,7.56111018974445e-18,True,20260405,4,4,0.1,0.9
20260405,16,4,4,0.1,1.6,1.0442646194114757,5.551115123125783e-17,1.1272314462060229e-17,True,20260405,4,4,0.1,1.6
20260405,16,4,4,0.35,0.2,1.0442646194114757,5.551115123125783e-17,8.434612916600448e-18,True,20260405,4,4,0.35,0.2
20260405,16,4,4,0.35,0.9,1.0442646194114757,5.551115123125783e-17,9.911838376611947e-18,True,20260405,4,4,0.35,0.9
20260405,16,4,4,0.35,1.6,1.0442646194114757,1.6653345369377348e-16,1.6902260118143813e-17,True,20260405,4,4,0.35,1.6
20260405,16,4,4,0.8,0.2,1.0442646194114757,2.220446049250313e-16,1.678169909531795e-17,True,20260405,4,4,0.8,0.2
20260405,16,4,4,0.8,0.9,1.0442646194114757,1.1102230246251565e-16,2.023618179853674e-17,True,20260405,4,4,0.8,0.9
20260405,16,4,4,0.8,1.6,1.0442646194114757,2.220446049250313e-16,2.2085254722392877e-17,True,20260405,4,4,0.8,1.6
20260405,16,4,5,0.1,0.2,0.8802985854082106,4.85722573273506e-17,3.985787648687995e-18,True,20260405,4,5,0.1,0.2
20260405,16,4,5,0.1,0.9,0.8802985854082106,5.551115123125783e-17,6.158974200507044e-18,True,20260405,4,5,0.1,0.9
20260405,16,4,5,0.1,1.6,0.8802985854082106,5.551115123125783e-17,9.24959978401696e-18,True,20260405,4,5,0.1,1.6
20260405,16,4,5,0.35,0.2,0.8802985854082106,2.7755575615628914e-17,6.481623167331994e-18,True,20260405,4,5,0.35,0.2
