n,omega_profile,dmu_mcwf,Delta_mu,K_layers,Gamma,p_jump,Ntraj,dS_hor_avg,dQ_avg,dQ_in,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
10,oscillating,0.03,2.0,64,0.12,0.0036,700,0.014628571428571428,-4.243229081597212e-05,4.243229081597212e-05,0.20500227808184257,0.008585528060315761,0.002857142857142857,0.015468545431184859,0.18999226897458185,0.000604258496318181,3.2
11,oscillating,0.03,2.0,64,0.12,0.0036,700,0.029257142857142857,-8.486458163194408e-05,8.486458163194408e-05,0.22165238902687762,0.016650110945035046,0.005714285714285714,0.015468545431184859,0.18884945833413325,0.000604258496318181,3.565714285714286
12,oscillating,0.03,2.0,64,0.12,0.0036,700,0.021942857142857142,-6.364843622395787e-05,6.364843622395787e-05,0.23371847854778133,0.012066089520903711,0.004285714285714286,0.015468545431184859,0.18799235035379677,0.000604258496318181,3.84
13,oscillating,0.03,2.0,64,0.12,0.0036,700,0.021942857142857142,-6.364843622395802e-05,6.364843622395802e-05,0.2454511589955555,0.011732680447774174,0.004285714285714286,0.015468545431184854,0.18713524237346027,0.0006042584963181809,4.114285714285714
14,oscillating,0.03,2.0,64,0.12,0.0036,700,0.007314285714285714,-2.1216145407985584e-05,2.1216145407985584e-05,0.2492917351967296,0.0038405762011740896,0.0014285714285714286,0.015468545431184854,0.1868495397133481,0.000604258496318181,4.2057142857142855
15,oscillating,0.03,2.0,64,0.12,0.0036,700,0.014628571428571428,-4.243229081597228e-05,4.243229081597228e-05,0.2568717755340467,0.007580040337317129,0.002857142857142857,0.015468545431184854,0.1862781343931238,0.0006042584963181809,4.388571428571429
16,oscillating,0.03,2.0,64,0.12,0.0036,700,0.014628571428571428,-4.2432290815971805e-05,4.2432290815971805e-05,0.26432143434952626,0.007449658815479543,0.002857142857142857,0.015468545431184854,0.1857067290728995,0.0006042584963181809,4.571428571428571
17,oscillating,0.03,2.0,64,0.12,0.0036,700,0.0,0.0,-0.0,0.26432143434952626,0.0,0.0,0.015468545431184854,0.1857067290728995,0.0006042584963181809,4.571428571428571
18,oscillating,0.03,2.0,64,0.12,0.0036,700,0.036571428571428574,-0.00010608072703992998,0.00010608072703992998,0.28240663097519847,0.018085196625672206,0.007142857142857143,0.015468545431184854,0.18427821577233874,0.0006042584963181809,5.0285714285714285
19,oscillating,0.03,2.0,64,0.12,0.0036,700,0.021942857142857142,-6.364843622395787e-05,6.364843622395787e-05,0.2929094589926532,0.010502828017454724,0.004285714285714286,0.015468545431184854,0.1834211077920023,0.0006042584963181809,5.3028571428571425
20,oscillating,0.03,2.0,64,0.12,0.0036,700,0.0,0.0,-0.0,0.2929094589926532,0.0,0.0,0.015468545431184854,0.1834211077920023,0.0006042584963181809,5.3028571428571425
21,oscillating,0.03,2.0,64,0.12,0.0036,700,0.007314285714285714,-2.121614540798606e-05,2.121614540798606e-05,0.2963552257607713,0.003445766768118086,0.0014285714285714286,0.015468545431184854,0.18313540513189014,0.000604258496318181,5.394285714285714
22,oscillating,0.03,2.0,64,0.12,0.0036,700,0.021942857142857142,-6.364843622395724e-05,6.364843622395724e-05,0.3065330057740475,0.010177780013276239,0.004285714285714286,0.015468545431184854,0.1822782971515537,0.0006042584963181809,5.668571428571428
23,oscillating,0.03,2.0,64,0.12,0.0036,700,0.014628571428571428,-4.243229081597228e-05,4.243229081597228e-05,0.31318922926199705,0.006656223487949531,0.002857142857142857,0.015468545431184854,0.18170689183132938,0.0006042584963181809,5.851428571428571
24,oscillating,0.03,2.0,64,0.12,0.0036,700,0.007314285714285714,-2.1216145407985428e-05,2.1216145407985428e-05,0.3164797755692916,0.0032905463072945285,0.0014285714285714286,0.015468545431184854,0.18142118917121722,0.0006042584963181809,5.942857142857143
25,oscillating,0.03,2.0,64,0.12,0.0036,700,0.007314285714285714,-2.121614540798606e-05,2.121614540798606e-05,0.3197457498199503,0.003265974250658721,0.0014285714285714286,0.015468545431184854,0.18113548651110506,0.0006042584963181808,6.034285714285715
26,oscillating,0.03,2.0,64,0.12,0.0036,700,0.014628571428571428,-4.2432290815971805e-05,4.2432290815971805e-05,0.3262053313291061,0.006459581509155821,0.002857142857142857,0.015468545431184854,0.18056408119088074,0.0006042584963181808,6.217142857142857
27,oscillating,0.03,2.0,64,0.12,0.0036,700,0.007314285714285714,-2.121614540798622e-05,2.121614540798622e-05,0.32939958759271637,0.003194256263610251,0.0014285714285714286,0.015468545431184854,0.1802783785307686,0.0006042584963181808,6.308571428571429
28,oscillating,0.03,2.0,64,0.12,0.0036,700,0.014628571428571428,-0.0028571428571428584,0.0028571428571428584,0.34122575841067876,0.01182617081796239,0.002857142857142857,0.015468545431184854,0.1797069732105443,0.0006042584963181809,6.491428571428571
29,oscillating,0.03,2.0,64,0.12,0.0036,700,0.029257142857142857,-8.486458163194393e-05,8.486458163194393e-05,0.35367374268596824,0.012447984275289481,0.005714285714285714,0.015468545431184854,0.1785641625700957,0.0006042584963181808,6.857142857142857
30,oscillating,0.03,2.0,64,0.12,0.0036,700,0.021942857142857142,-6.364843622395802e-05,6.364843622395802e-05,0.362779240891045,0.009105498205076779,0.004285714285714286,0.015468545431184859,0.17770705458975927,0.0006042584963181808,7.131428571428572
31,oscillating,0.03,2.0,64,0.12,0.0036,700,0.014628571428571428,-4.243229081597228e-05,4.243229081597228e-05,0.3687436790045828,0.005964438113537807,0.002857142857142857,0.015468545431184859,0.17713564926953496,0.0006042584963181808,7.314285714285714
32,oscillating,0.03,2.0,64,0.12,0.0036,700,0.014628571428571428,-4.2432290815971486e-05,4.2432290815971486e-05,0.37462563240928526,0.0058819534047024336,0.002857142857142857,0.015468545431184854,0.1765642439493106,0.0006042584963181809,7.497142857142857
33,oscillating,0.03,2.0,64,0.12,0.0036,700,0.021942857142857142,-6.364843622395882e-05,6.364843622395882e-05,0.38329782145876695,0.008672189049481693,0.004285714285714286,0.015468545431184854,0.17570713596897414,0.0006042584963181808,7.771428571428571
34,oscillating,0.03,2.0,64,0.12,0.0036,700,0.007314285714285714,-2.1216145407985902e-05,2.1216145407985902e-05,0.3861492045486847,0.002851383089917725,0.0014285714285714286,0.015468545431184854,0.175421433308862,0.0006042584963181808,7.862857142857143
35,oscillating,0.03,2.0,64,0.12,0.0036,700,0.007314285714285714,-2.121614540798622e-05,2.121614540798622e-05,0.3889812537695542,0.002832049220869548,0.0014285714285714286,0.015468545431184854,0.17513573064874985,0.0006042584963181808,7.954285714285715
36,oscillating,0.03,2.0,64,0.12,0.0036,700,0.014628571428571428,-4.24322908159726e-05,4.24322908159726e-05,0.3945881311320968,0.005606877362542562,0.002857142857142857,0.015468545431184854,0.17456432532852553,0.0006042584963181809,8.137142857142857
37,oscillating,0.03,2.0,64,0.12,0.0036,700,0.014628571428571428,-4.243229081597212e-05,4.243229081597212e-05,0.4001199688968194,0.0055318377647226025,0.002857142857142857,0.01546854543118485,0.1739929200083012,0.0006042584963181808,8.32
38,oscillating,0.03,2.0,64,0.12,0.0036,700,0.0,0.0,-0.0,0.4001199688968194,0.0,0.0,0.01546854543118485,0.1739929200083012,0.0006042584963181808,8.32
39,oscillating,0.03,2.0,64,0.12,0.0036,700,0.021942857142857142,-6.364843622395802e-05,6.364843622395802e-05,0.4082801707467794,0.008160201849960025,0.004285714285714286,0.01546854543118485,0.17313581202796474,0.0006042584963181808,8.594285714285714
40,oscillating,0.03,2.0,64,0.12,0.0036,700,0.0,0.0,-0.0,0.4082801707467794,0.0,0.0,0.01546854543118485,0.17313581202796474,0.0006042584963181808,8.594285714285714
41,oscillating,0.03,2.0,64,0.12,0.0036,700,0.014628571428571428,-4.243229081597197e-05,4.243229081597197e-05,0.41363059297607696,0.005350422229297547,0.002857142857142857,0.01546854543118485,0.17256440670774043,0.0006042584963181808,8.777142857142858
42,oscillating,0.03,2.0,64,0.12,0.0036,700,0.021942857142857142,-6.364843622395802e-05,6.364843622395802e-05,0.42152488514110487,0.007894292165027905,0.004285714285714286,0.015468545431184854,0.171707298727404,0.0006042584963181808,9.051428571428572
43,oscillating,0.03,2.0,64,0.12,0.0036,700,0.021942857142857142,-6.364843622395802e-05,6.364843622395802e-05,0.429265215297107,0.007740330156002118,0.004285714285714286,0.01546854543118485,0.1708501907470675,0.0006042584963181808,9.325714285714286
