eta0,sample,k,bond,abs_src_mu,coh_layer_mean,coh_sum,absLambda_sum
0.5,2,0,1,0.004849806931810511,0.3525793928948251,0.6635713020063583,0.27922513758602596
0.5,2,0,2,0.01398582676058974,0.3525793928948251,0.7050851156860354,0.18050140997947406
0.5,2,1,0,0.005773740415480431,0.4377605832741357,0.9364082139522362,0.2184116818723453
0.5,2,1,1,0.008291423645163217,0.4377605832741357,0.7975991314972617,0.28991929913847414
0.5,2,1,2,0.02001173482601749,0.4377605832741357,0.8146341191443065,0.3523533141757368
0.5,2,2,0,0.03317347296402724,0.36739967184563627,0.7809530065425112,0.3884753556543362
0.5,2,2,1,0.04177731478754344,0.36739967184563627,0.9609913855872839,0.3517938943215858
0.5,2,2,2,0.03471233416607124,0.36739967184563627,0.6886456808400339,0.34926023914245985
0.5,2,3,0,0.0690041165340323,0.38431632756245565,0.8244750362206645,0.14345298252945488
0.5,2,3,1,0.05802489976483857,0.38431632756245565,0.9781564543948564,0.2494327783621728
0.5,2,3,2,0.07129026975647308,0.38431632756245565,0.7127902740291581,0.26290523253856923
0.5,2,4,0,0.04252217515924297,0.32183088872710686,0.5151094489324379,0.8266584981945582
0.5,2,4,1,0.00025053420731487464,0.32183088872710686,0.6571472995808666,0.6168301378087404
0.5,2,4,2,0.0016056786059615465,0.32183088872710686,0.7722141059759893,0.41477937041986956
0.5,3,0,0,0.001913933877332668,0.3438446158782228,0.5626865408388066,0.32069465811599107
0.5,3,0,1,0.004513560263261616,0.3438446158782228,0.47503825077836564,0.21581034628302662
0.5,3,0,2,0.015546784195280786,0.3438446158782228,0.8126919226740845,0.503468299041402
0.5,3,1,0,0.009714417789655906,0.2290908141655637,0.344668784857179,0.4567525785985539
0.5,3,1,1,0.004381855495686125,0.2290908141655637,0.6268108610332316,0.3787770774429233
0.5,3,1,2,0.0076331654530047265,0.2290908141655637,0.5716944718050758,0.3774547755550568
0.5,3,2,0,0.0003844704804877189,0.34217697356021637,0.6617146017897679,0.19500624597107385
0.5,3,2,1,0.0028521173981768087,0.34217697356021637,0.7219109134359738,0.08986894784004373
0.5,3,2,2,0.0030364621756787434,0.34217697356021637,0.7069932924510974,0.20104289719803298
0.5,3,3,0,0.037365271411996026,0.39238658378492713,0.9077487448388846,0.32805930817912393
0.5,3,3,1,0.0054433183512363256,0.39238658378492713,0.6880713712316304,0.17372957532206618
