model,q_extreme,ridge_alpha,cv_gain_all_median,cv_gain_all_mean,cv_gain_extreme_median,cv_gain_extreme_mean,cv_gain_non_extreme_median,cv_score_mean,cv_score_std,cv_extreme_positive_frac,cv_overall_positive_frac,seed,complexity
vertical_global,0.95,0.0003,9.508314061743408e-05,0.001015566516216354,-0.002022114023814425,-0.0019395619076093607,0.0006322700882189563,4.5785562411673666e-05,0.005405599359090895,0.16666666666666666,0.5,20260301,2
vertical_global,0.95,0.001,9.50835002112653e-05,0.0010155669348675584,-0.002022113067258459,-0.001939560326840057,0.0006322702969980307,4.5786771447529906e-05,0.005405596497010776,0.16666666666666666,0.5,20260301,2
vertical_global,0.95,0.003,9.508452762098857e-05,0.00101556813101376,-0.0020221103342453503,-0.001939555810361602,0.0006322708935087627,4.5790225832959375e-05,0.005405588319652444,0.16666666666666666,0.5,20260301,2
vertical_global,0.95,0.01,9.508812354452033e-05,0.0010155723175200003,-0.002022100768750474,-0.001939540002751105,0.0006322729812886515,4.580231614444789e-05,0.005405559699053438,0.16666666666666666,0.5,20260301,2
vertical_global,0.95,0.03,9.50983975165988e-05,0.0010155842789200756,-0.0020220734391963933,-0.0019394948386981601,0.000632278946305195,4.5836859570995456e-05,0.005405477927245339,0.16666666666666666,0.5,20260301,2
vertical_global,0.95,0.1,9.51343553088543e-05,0.0010156261432796795,-0.002021977790786068,-0.0019393367709102023,0.0006322998230630488,4.595775782457867e-05,0.005405191741452542,0.16666666666666666,0.5,20260301,2
horizontal_global,0.85,1e-06,0.00023235359601458347,0.0008985145921316372,0.001513481970237895,0.0009357125186232381,0.0010429751559277414,0.00145994210330558,0.005461013199677138,0.6666666666666666,0.5,20260301,2
horizontal_global,0.85,3e-06,0.0002323535968579644,0.0008985145932819968,0.001513481974089577,0.0009357125181773989,0.0010429751655075586,0.001459942104188436,0.005461013192654558,0.6666666666666666,0.5,20260301,2
horizontal_global,0.85,1e-05,0.00023235359980998096,0.0008985145973082064,0.0015134819875694562,0.0009357125166163764,0.0010429751990364733,0.0014599421072780323,0.005461013168075736,0.6666666666666666,0.5,20260301,2
horizontal_global,0.85,3e-05,0.00023235360824446242,0.0008985146088118395,0.001513482026083696,0.0009357125121566574,0.0010429752948337586,0.0014599421161058338,0.005461013097850649,0.6666666666666666,0.5,20260301,2
