fold_id,model,q_extreme,ridge_alpha,n_train,n_val,n_val_extreme,gain_all,gain_extreme,gain_non_extreme,score
5,vertical_global,0.85,0.03,2434,486,104,-0.0008906337620746714,0.0019129663310448978,-0.0013998731562810283,0.00025714603655226727
0,vertical_global,0.85,0.1,2433,487,174,0.005865096404208036,0.003806022831872413,0.008114143154845706,0.008148710103331484
1,vertical_global,0.85,0.1,2433,487,99,-0.0023428780811542978,-0.005498190736537562,-0.00026196229524244277,-0.005641792523076835
2,vertical_global,0.85,0.1,2433,487,66,-0.004596353050333289,0.008011292852478376,-0.0074417349028050505,0.00021042266115373683
3,vertical_global,0.85,0.1,2433,487,184,0.001080823910492548,-0.001565772688907255,0.003337719880369622,0.00014136029714819504
4,vertical_global,0.85,0.1,2434,486,135,0.006977622876339919,0.0005745056800714603,0.009982662279502914,0.007322326284382796
5,vertical_global,0.85,0.1,2434,486,104,-0.0008905551998748393,0.0019130475944990099,-0.0013997974186693617,0.00025727335682456645
0,vertical_global,0.88,1e-06,2433,487,153,0.005865426706500171,0.0014660337486821907,0.009987632743559864,0.006745046955709485
1,vertical_global,0.88,1e-06,2433,487,80,-0.0023435787727881935,-0.007238575669068505,0.00024748970487550545,-0.006686724174229297
2,vertical_global,0.88,1e-06,2433,487,38,-0.004596483351131686,0.016718206167430007,-0.0072650276409843674,0.005434440349326317
3,vertical_global,0.88,1e-06,2433,487,164,0.0010808334058956626,-0.002342667384903275,0.003598695321952832,-0.0003247670250463024
4,vertical_global,0.88,1e-06,2434,486,103,0.006977867467735145,-0.0005993613684044287,0.009540806359604826,0.006618250646692488
5,vertical_global,0.88,1e-06,2434,486,88,-0.0008906674318568059,0.004939413699593718,-0.0017948834570881151,0.002072980787899425
0,vertical_global,0.88,3e-06,2433,487,153,0.005865426699893613,0.0014660337471548413,0.009987632732269566,0.006745046948186517
1,vertical_global,0.88,3e-06,2433,487,80,-0.0023435787587735134,-0.007238575662965978,0.00024748972312764846,-0.0066867241565531
2,vertical_global,0.88,3e-06,2433,487,38,-0.004596483348525582,0.016718206149214786,-0.007265027636218464,0.0054344403410032886
3,vertical_global,0.88,3e-06,2433,487,164,0.001080833405705795,-0.0023426673835447533,0.003598695320909498,-0.0003247670244210571
4,vertical_global,0.88,3e-06,2434,486,103,0.006977867462843,-0.0005993613642293271,0.009540806351468391,0.006618250644305403
5,vertical_global,0.88,3e-06,2434,486,88,-0.000890667429612114,0.004939413703817102,-0.0017948834552782113,0.002072980792678147
0,vertical_global,0.88,1e-05,2433,487,153,0.0058654266767709995,0.001466033741809916,0.00998763269275424,0.0067450469218569495
1,vertical_global,0.88,1e-05,2433,487,80,-0.002343578709722619,-0.0072385756416083885,0.00024748978701059167,-0.006686724094687652
2,vertical_global,0.88,1e-05,2433,487,38,-0.004596483339403956,0.016718206085460614,-0.007265027619537172,0.005434440311872413
3,vertical_global,0.88,1e-05,2433,487,164,0.0010808334050413343,-0.002342667378790047,0.00359869531725835,-0.0003247670222326941
4,vertical_global,0.88,1e-05,2434,486,103,0.006977867445720486,-0.0005993613496181912,0.009540806322991752,0.006618250635949572
5,vertical_global,0.88,1e-05,2434,486,88,-0.0008906674217556312,0.004939413718599108,-0.0017948834489441244,0.0020729808094038338
0,vertical_global,0.88,3e-05,2433,487,153,0.005865426610706917,0.0014660337265387264,0.009987632579852688,0.006745046846630153
1,vertical_global,0.88,3e-05,2433,487,80,-0.002343578569577622,-0.0072385755805854995,0.00024748996953255335,-0.0066867239179289216
2,vertical_global,0.88,3e-05,2433,487,38,-0.0045964833133423895,0.01671820590330507,-0.007265027571876694,0.005434440228640651
3,vertical_global,0.88,3e-05,2433,487,164,0.001080833403142052,-0.0023426673652059147,0.003598695306826053,-0.0003247670159814966
4,vertical_global,0.88,3e-05,2434,486,103,0.006977867396798113,-0.000599361307872143,0.009540806241628216,0.0066182506120748275
5,vertical_global,0.88,3e-05,2434,486,88,-0.0008906673993078575,0.0049394137608332715,-0.001794883430845892,0.0020729808571921054
0,vertical_global,0.88,0.0001,2433,487,153,0.005865426379482697,0.0014660336730884119,0.009987632184697622,0.006745046583335744
1,vertical_global,0.88,0.0001,2433,487,80,-0.002343578079069643,-0.007238575367004986,0.00024749060836039635,-0.006686723299272635
2,vertical_global,0.88,0.0001,2433,487,38,-0.004596483222126478,0.016718205265760903,-0.007265027405065022,0.005434439937330063
3,vertical_global,0.88,0.0001,2433,487,164,0.00108083339649411,-0.002342667317660424,0.0035986952703137088,-0.00032476699410214456
4,vertical_global,0.88,0.0001,2434,486,103,0.006977867225571018,-0.0005993611617634572,0.009540805956856406,0.0066182505285129435
5,vertical_global,0.88,0.0001,2434,486,88,-0.0008906673207415649,0.004939413908652843,-0.0017948833675028295,0.002072981024450141
0,vertical_global,0.88,0.0003,2433,487,153,0.005865425718840923,0.001466033520374746,0.00998763105568266,0.006745045831065771
1,vertical_global,0.88,0.0003,2433,487,80,-0.0023435766776185286,-0.007238574756775801,0.0002474924335820005,-0.006686721531684009
2,vertical_global,0.88,0.0003,2433,487,38,-0.0045964829615096105,0.016718203444207404,-0.007265026928460775,0.005434439105014831
3,vertical_global,0.88,0.0003,2433,487,164,0.0010808333775011376,-0.0023426671818157206,0.0035986951659926496,-0.0003247669315882948
4,vertical_global,0.88,0.0003,2434,486,103,0.006977866736350472,-0.0005993607443062834,0.00954080514322362,0.006618250289766702
5,vertical_global,0.88,0.0003,2434,486,88,-0.0008906670962662694,0.004939414330994641,-0.001794883186522123,0.0020729815023305155
0,vertical_global,0.88,0.001,2433,487,153,0.005865423406596726,0.001466032985876751,0.009987627104132767,0.006745043198122776
1,vertical_global,0.88,0.001,2433,487,80,-0.002343571772541686,-0.007238572620974503,0.0002474988218561088,-0.006686715345126388
2,vertical_global,0.88,0.001,2433,487,38,-0.004596482049351505,0.016718197068772915,-0.007265025260345941,0.005434436191912243
