case_id,K_layers,dmu,Lambda_numerical,Lambda_theory,rel_error,rel_error_pct
7,64,0.00431372432775086,0.0072193185371049965,0.007219318537104996,1.2014454460352742e-16,1.2014454460352743e-14
7,128,0.00215686216387543,0.007219318537104995,0.007219318537104996,1.2014454460352742e-16,1.2014454460352743e-14
8,4,0.4545701937689879,0.08176113799835857,0.08176113799835859,1.6973574668313562e-16,1.697357466831356e-14
8,8,0.22728509688449394,0.08176113799835857,0.08176113799835859,1.6973574668313562e-16,1.697357466831356e-14
8,16,0.11364254844224697,0.0817611379983586,0.08176113799835859,1.6973574668313562e-16,1.697357466831356e-14
8,32,0.056821274221123486,0.0817611379983586,0.08176113799835859,1.6973574668313562e-16,1.697357466831356e-14
8,64,0.028410637110561743,0.0817611379983586,0.08176113799835859,1.6973574668313562e-16,1.697357466831356e-14
8,128,0.014205318555280871,0.08176113799835859,0.08176113799835859,0.0,0.0
9,4,0.7036796191222606,0.38918133415966966,0.3891813341596696,1.426356979610001e-16,1.426356979610001e-14
9,8,0.3518398095611303,0.38918133415966955,0.3891813341596696,1.426356979610001e-16,1.426356979610001e-14
9,16,0.17591990478056516,0.3891813341596696,0.3891813341596696,0.0,0.0
9,32,0.08795995239028258,0.3891813341596695,0.3891813341596696,2.852713959220002e-16,2.852713959220002e-14
9,64,0.04397997619514129,0.38918133415966955,0.3891813341596696,1.426356979610001e-16,1.426356979610001e-14
9,128,0.021989988097570645,0.3891813341596693,0.3891813341596696,7.131784898050005e-16,7.131784898050006e-14
10,4,0.1003240720996258,0.015736919987236066,0.01573691998723607,2.204654376312137e-16,2.204654376312137e-14
10,8,0.0501620360498129,0.015736919987236066,0.01573691998723607,2.204654376312137e-16,2.204654376312137e-14
10,16,0.02508101802490645,0.01573691998723607,0.01573691998723607,0.0,0.0
10,32,0.012540509012453224,0.015736919987236062,0.01573691998723607,4.409308752624274e-16,4.409308752624274e-14
10,64,0.006270254506226612,0.01573691998723607,0.01573691998723607,0.0,0.0
10,128,0.003135127253113306,0.015736919987236066,0.01573691998723607,2.204654376312137e-16,2.204654376312137e-14
11,4,0.32092122664605927,0.09973032074830213,0.09973032074830215,2.7830629047787513e-16,2.7830629047787512e-14
11,8,0.16046061332302963,0.09973032074830213,0.09973032074830215,2.7830629047787513e-16,2.7830629047787512e-14
11,16,0.08023030666151482,0.09973032074830214,0.09973032074830215,1.3915314523893757e-16,1.3915314523893756e-14
11,32,0.04011515333075741,0.09973032074830215,0.09973032074830215,0.0,0.0
11,64,0.020057576665378704,0.09973032074830214,0.09973032074830215,1.3915314523893757e-16,1.3915314523893756e-14
11,128,0.010028788332689352,0.09973032074830213,0.09973032074830215,2.7830629047787513e-16,2.7830629047787512e-14
12,4,0.3286558127570292,0.051841176628214455,0.05184117662821445,1.3384908204669522e-16,1.3384908204669522e-14
12,8,0.1643279063785146,0.05184117662821445,0.05184117662821445,0.0,0.0
12,16,0.0821639531892573,0.05184117662821445,0.05184117662821445,0.0,0.0
12,32,0.04108197659462865,0.05184117662821444,0.05184117662821445,1.3384908204669522e-16,1.3384908204669522e-14
12,64,0.020540988297314326,0.05184117662821444,0.05184117662821445,1.3384908204669522e-16,1.3384908204669522e-14
12,128,0.010270494148657163,0.051841176628214455,0.05184117662821445,1.3384908204669522e-16,1.3384908204669522e-14
13,4,0.20186899661789595,0.04096898809894939,0.040968988098949395,1.6936942370038667e-16,1.6936942370038668e-14
13,8,0.10093449830894798,0.04096898809894939,0.040968988098949395,1.6936942370038667e-16,1.6936942370038668e-14
13,16,0.05046724915447399,0.04096898809894939,0.040968988098949395,1.6936942370038667e-16,1.6936942370038668e-14
13,32,0.025233624577236994,0.04096898809894939,0.040968988098949395,1.6936942370038667e-16,1.6936942370038668e-14
13,64,0.012616812288618497,0.040968988098949395,0.040968988098949395,0.0,0.0
13,128,0.0063084061443092485,0.04096898809894939,0.040968988098949395,1.6936942370038667e-16,1.6936942370038668e-14
14,4,0.7536831359000128,0.49267964713746387,0.49267964713746387,0.0,0.0
14,8,0.3768415679500064,0.4926796471374639,0.49267964713746387,1.1267189857300803e-16,1.1267189857300804e-14
14,16,0.1884207839750032,0.49267964713746387,0.49267964713746387,0.0,0.0
14,32,0.0942103919875016,0.4926796471374638,0.49267964713746387,1.1267189857300803e-16,1.1267189857300804e-14
14,64,0.0471051959937508,0.4926796471374638,0.49267964713746387,1.1267189857300803e-16,1.1267189857300804e-14
14,128,0.0235525979968754,0.4926796471374641,0.49267964713746387,4.506875942920321e-16,4.5068759429203214e-14
15,4,0.5491761603696477,0.20726441265603895,0.20726441265603893,1.339138507182607e-16,1.339138507182607e-14
15,8,0.27458808018482384,0.20726441265603895,0.20726441265603893,1.339138507182607e-16,1.339138507182607e-14
15,16,0.13729404009241192,0.20726441265603893,0.20726441265603893,0.0,0.0
15,32,0.06864702004620596,0.207264412656039,0.20726441265603893,4.017415521547821e-16,4.017415521547821e-14
15,64,0.03432351002310298,0.2072644126560389,0.20726441265603893,1.339138507182607e-16,1.339138507182607e-14
15,128,0.01716175501155149,0.20726441265603898,0.20726441265603893,2.678277014365214e-16,2.678277014365214e-14
16,4,0.42479424701363777,0.3511560923167688,0.3511560923167688,0.0,0.0
16,8,0.21239712350681889,0.3511560923167688,0.3511560923167688,0.0,0.0
16,16,0.10619856175340944,0.3511560923167688,0.3511560923167688,0.0,0.0
16,32,0.05309928087670472,0.3511560923167688,0.3511560923167688,0.0,0.0
16,64,0.02654964043835236,0.3511560923167688,0.3511560923167688,0.0,0.0
16,128,0.01327482021917618,0.35115609231676875,0.3511560923167688,1.5808112815306788e-16,1.580811281530679e-14
17,4,0.9857615328808642,0.5072444565317396,0.5072444565317394,2.1887336772810747e-16,2.1887336772810746e-14
17,8,0.4928807664404321,0.5072444565317396,0.5072444565317394,2.1887336772810747e-16,2.1887336772810746e-14
17,16,0.24644038322021605,0.5072444565317396,0.5072444565317394,2.1887336772810747e-16,2.1887336772810746e-14
17,32,0.12322019161010803,0.5072444565317396,0.5072444565317394,2.1887336772810747e-16,2.1887336772810746e-14
17,64,0.06161009580505401,0.5072444565317394,0.5072444565317394,0.0,0.0
17,128,0.030805047902527007,0.5072444565317397,0.5072444565317394,4.3774673545621494e-16,4.377467354562149e-14
18,4,0.780628343624819,0.3551967840875921,0.3551967840875921,0.0,0.0
18,8,0.3903141718124095,0.35519678408759214,0.3551967840875921,1.562828091866072e-16,1.562828091866072e-14
18,16,0.19515708590620476,0.35519678408759214,0.3551967840875921,1.562828091866072e-16,1.562828091866072e-14
