case_id,omega,Delta_mu,beta,r_amp,alpha_state,max_rel_error,median_rel_error
79,0.743252828618878,3.3253348632201654,-0.006807875728001123,0.7256867859898608,0.10724551567539553,1.4467712079931566e-15,1.4467712079931565e-16
80,0.4033676382880237,2.447001679597463,-0.021009980405330864,0.4587784301072996,0.909183811902456,1.4957225090297863e-16,0.0
81,0.8279922620818443,0.9650695231844575,-0.33099736397937407,0.2976605899398386,0.9327603236508267,1.3596533592262196e-16,1.3596533592262196e-16
82,0.23363251030970034,3.307583653545299,-0.4879916094895571,0.8030550893007463,0.9650013126880793,2.115345847792116e-16,2.115345847792116e-16
83,0.23463021804366188,1.7313604565536367,-0.17844585764348397,0.5709569715417795,0.11507960124339893,5.392613846894723e-16,2.022230192585521e-16
84,0.4804583052905227,1.3340416511838686,-0.4713286778917076,0.824049381797139,0.6941736572175946,6.873471652863564e-16,5.727893044052971e-17
85,1.0704643315988815,1.3901715808263073,0.3691143340814156,0.9534618018898722,0.3462571460890228,5.489975554840409e-16,1.8299918516134697e-16
86,0.19659595749726513,1.9493732186039157,0.12335492618783706,0.6986624687903862,1.0892527025131615,2.588246616184997e-16,1.2941233080924984e-16
87,0.5703022083318424,2.019212966207105,0.14041055405597302,0.5192310366922532,0.6066520647698963,4.997834418620266e-16,1.8741879069825995e-16
88,0.9576644071327005,3.3632099172626577,0.33614819565747667,0.7353900024734829,1.4637674060620005,3.3671191103279554e-15,1.5432629255669796e-15
89,1.066181865003218,1.3589496152078742,0.34172987525231446,0.11440715394505399,1.0074514268339139,1.3533713521579938e-16,6.766856760789969e-17
90,0.5192097015708411,3.1824502548399316,0.38384680511580294,0.29070813278543967,0.17082863901160963,2.8591099074653533e-16,1.4295549537326766e-16
91,0.9736857593156825,3.132018412684529,0.2815512027746776,0.9015844357703436,0.9783514399637655,1.6277904803925805e-15,9.043280446625446e-16
92,1.0165240937364821,2.7056096830085368,-0.044731012701012984,0.702394107817333,1.0235887025232338,9.327813393306988e-16,1.7489650112450602e-16
93,0.25173651161771393,3.2439517811642764,0.25737537031789604,0.48205022843641054,0.810395739634343,3.163958715259373e-16,1.5819793576296866e-16
94,0.845725016011568,2.237094150188839,-0.3791375964951996,0.803007337933859,0.8663880552961998,4.429240437126757e-16,1.4764134790422522e-16
95,0.9360596382798139,2.123357668730725,0.20919425997823715,0.23492347078049106,0.7402876810910716,2.594725382696663e-16,6.486813456741657e-17
96,0.8777277798374447,0.6519967920857485,-0.4357941389550064,0.5063950726794212,0.2036360806021605,2.555132611623879e-16,6.387831529059698e-17
97,0.11973471631601329,0.2993388377722996,0.10365715423399768,0.974823570756035,0.7033895727335197,0.0,0.0
98,0.5883018993704688,2.9426954808705106,-0.43969853059146957,0.46762415245789013,0.7101246592474785,1.216281853222725e-16,6.081409266113625e-17
99,0.9530797482883264,2.8899893444380456,-0.4702295268973943,0.055213712978490655,1.4465612838583528,1.0150259522434374e-15,4.2292748010143224e-16
100,0.5455969669007442,2.5616456706126556,-0.23561105833041873,0.8433853671271143,0.8363928686811777,2.6867139172084557e-16,1.3433569586042278e-16
101,0.5977594100371753,3.9553030974935455,-0.2251826522756254,0.2694392509434504,0.2620735757338556,1.0271827413746057e-15,2.9348078324988733e-16
102,0.22493165681411134,3.311165086860328,-0.49491965503934743,0.8920432471722838,1.20333414995824,2.738385962616135e-16,1.3691929813080675e-16
103,0.2691311313902559,1.818204161066501,0.19091433910964573,0.2241544517965919,1.4271102994306966,6.970749447035849e-16,5.808957872529874e-17
104,0.5054222331830142,1.9448205807340366,0.19091625553287717,0.7901384880345191,1.4033079161823958,2.5681383863026805e-16,2.5681383863026805e-16
105,0.6790616212614006,0.4136213248085533,0.1754166375702081,0.38398184832782306,0.17157315791623973,1.9376269439067378e-16,0.0
106,0.674695732731716,2.61057316716026,-0.06318748670186414,0.35421545869404025,0.08824853613629231,3.4087563705753016e-16,1.1362521235251006e-16
107,0.39940733025217334,3.4234408940689653,-0.1694796561131453,0.30322114274203227,0.19250736592968445,2.4885557774461815e-16,6.221389443615454e-17
108,1.138085092205535,1.2552073166007742,0.21093240769432642,0.5475155986615629,0.48835886251867494,2.4719784469253584e-16,1.2359892234626792e-16
