subset,model,split_id,n_train,n_test,mae_base,mae_full,mae_gain_frac,intercept_base,intercept_full,coef_base_ctrl,coef_full_ctrl,coef_full_lambda_h,coef_full_lambda_v
vorticity_p90,vertical,5,365,73,0.8590311934553887,0.8596775030558511,-0.0007523703509088293,0.7219131474252185,0.7263660587168996,-0.19287290858879072,-0.19237052595840698,,-1479.2690062932365
vorticity_p90,combined,0,365,73,0.7603702284182688,0.7645667543433426,-0.0055190560706170014,0.5463478250509214,0.5511815980104073,-0.2737179326741071,-0.27483697558768205,-15682.062485520866,16550.97247338387
vorticity_p90,combined,1,365,73,0.6964128695144692,0.7014510186134664,-0.007234428482779818,0.6157305875120542,0.6207802250123287,-0.2994355044837332,-0.30548543947795137,-34719.814096445116,40564.96113839709
vorticity_p90,combined,2,365,73,0.6271760517490842,0.6244425201252642,0.0043584757679956876,0.6564043833625319,0.6556694271987532,-0.2981403817684696,-0.30059383261640377,-21447.10942465858,25297.16999593978
vorticity_p90,combined,3,365,73,0.6606253396875904,0.6735455336528904,-0.0195575210169661,0.6171423851621349,0.6237943891925835,-0.28432892698270323,-0.28648193719855913,-23367.048594257732,25385.09957516123
vorticity_p90,combined,4,365,73,0.809120501561484,0.8266407403279071,-0.021653435715187075,0.5396572316255263,0.5312158519522548,-0.3450959456891941,-0.3512543655881866,-35889.25106515631,45680.82452053055
vorticity_p90,combined,5,365,73,0.8590311934553887,0.8679806513409797,-0.010418082548995736,0.7219131474252185,0.7219712283656334,-0.19287290858879072,-0.19596636372757037,-31309.459913394832,36559.14941657809
omegaq_p90,horizontal,0,365,73,0.46143593353743984,0.4631195073647784,-0.0036485537969017548,1.4880617088186954,1.4840405777394214,-0.09880314341523479,-0.10117495938820988,997.6870624089597,
omegaq_p90,horizontal,1,365,73,0.4773412664296709,0.4957286974149555,-0.03852051410257698,1.5090276379018133,1.5007659920605354,-0.1257489023075283,-0.1285460705268576,1825.7849230554377,
omegaq_p90,horizontal,2,365,73,0.732215461755165,0.7297997563963049,0.003299172832360385,1.4680100437941244,1.467189523146555,-0.1564681747397563,-0.15684014486686007,275.5149231336944,
omegaq_p90,horizontal,3,365,73,0.46227502427261313,0.45806246194379463,0.009112675588385575,1.535579277154635,1.5315964282789272,-0.12848842880274206,-0.13024162395689706,838.0425722474196,
omegaq_p90,horizontal,4,365,73,0.46217748807838643,0.4604589328865479,0.003718387927071355,1.5204119115269472,1.5178992115787222,-0.1460330277560221,-0.14635291254838703,799.857242006723,
omegaq_p90,horizontal,5,365,73,0.5169235718781908,0.5161047923157455,0.0015839470416657941,1.4920467523259662,1.490260538236,-0.10252060554346047,-0.10453104466414327,1139.130999871862,
omegaq_p90,vertical,0,365,73,0.46143593353743984,0.4630615077022476,-0.0035228599392819575,1.4880617088186954,1.4841095833981575,-0.09880314341523479,-0.10123063791712077,,1187.2140891723118
omegaq_p90,vertical,1,365,73,0.4773412664296709,0.49805690135790814,-0.04339795526822735,1.5090276379018133,1.5006905862203084,-0.1257489023075283,-0.12880225994297942,,2262.294453245662
omegaq_p90,vertical,2,365,73,0.732215461755165,0.7300959235701426,0.002894691925705668,1.4680100437941244,1.4674263307421587,-0.1564681747397563,-0.15677932450373672,,249.30312058644117
omegaq_p90,vertical,3,365,73,0.46227502427261313,0.458246982142851,0.008713518832412677,1.535579277154635,1.5316919774651112,-0.12848842880274206,-0.1303334918314083,,1025.2307168634136
omegaq_p90,vertical,4,365,73,0.46217748807838643,0.4605419916342082,0.0035386761284601676,1.5204119115269472,1.517996643886938,-0.1460330277560221,-0.14636401409421088,,947.3711755125494
omegaq_p90,vertical,5,365,73,0.5169235718781908,0.5157714226254563,0.0022288580273987064,1.4920467523259662,1.4903826153421937,-0.10252060554346047,-0.10440983758526265,,1272.1201225624375
omegaq_p90,combined,0,365,73,0.46143593353743984,0.4633876967393697,-0.004229759886628478,1.4880617088186954,1.4843365058903146,-0.09880314341523479,-0.10128602049305623,-1981.5070222588765,3518.143942458736
omegaq_p90,combined,1,365,73,0.4773412664296709,0.512458267389746,-0.07356791341897419,1.5090276379018133,1.5028435876601274,-0.1257489023075283,-0.13002262114642457,-16046.415255763988,21381.034952721235
