case_id,profile,alpha1,alpha2,delta_alpha,lambda_matter_w1_mean,lm_w1_times_delta_alpha,lambda_vac_w1_mean,state_spread_phi90,lambda_w_g2_mean,coh_ptr_g2_mean,jump_rate_g2_mean,lambda_eff_raw,clausius_r2,lambda_eff_proxy
27,oscillating,0.10488377089985088,0.9224881991320607,0.8176044282322098,0.8534161268970905,0.6977568044758427,0.8176044282322098,1.5240319375951186,-0.029760671319806607,0.0025492788601121272,0.004416666666666667,-1.139095223561456,0.009607412542344429,-0.007305312661064764
28,gaussian,0.17912767334362997,0.7929934317488635,0.6138657584052335,0.6744479495755503,0.4140205020710499,0.6138657584052337,1.2581945911230965,-0.0008848307042485907,0.08894186068400069,0.0032916666666666663,-0.6909552959272819,0.006031401099211187,-0.0031682565960628965
29,oscillating,0.2062704712420712,0.835817569649024,0.6295470984069528,0.7148406142030143,0.4500258344949516,0.6295470984069527,1.2853296397154776,-0.01924130645819473,0.08354447942138954,0.0034583333333333332,3.1459393987770112,0.09877138455159651,0.14046568956447225
30,constant,0.3395067334683402,0.6235320486010202,0.28402531513268,0.5034507509620805,0.1429927581957893,0.28402531513268,1.1139466719843394,0.02396204707197181,0.056822859833348206,0.002625,11.716491103814953,0.48586334098360895,1.2355017261670154
31,oscillating,0.1712039329667438,0.9032746727225951,0.7320707397558512,0.7595951773704298,0.5560774034125476,0.7320707397558512,1.4077425532616403,-0.042215765581182466,0.03935318365907495,0.004291666666666667,0.16270756241237208,6.70480051030431e-05,1.0107580023218848e-05
32,gaussian,0.38339933526422965,0.4980402014793911,0.11464086621516145,0.43297033222204095,0.049636093931401004,0.11464086621516145,1.253263238689103,0.0018777122036422182,0.04653809871472714,0.002875,18.15083670355939,0.5939196023170601,1.7534564038075104
33,constant,0.1650339899349097,0.8630388400826806,0.6980048501477709,0.7924603140711445,0.5531411427712847,0.6980048501477708,1.37903717813603,-0.04556123482819252,0.0553516709018083,0.0033750000000000004,-7.903814122178378,0.9991797591362447,-2.18468629796034
34,gaussian,0.2454017117586746,0.7354997005059416,0.49009798874726707,0.6085648338820582,0.2982564011079114,0.490097988747267,1.1074437894039846,8.401727400649714e-05,0.11170601216416572,0.0036666666666666666,1.7856628117032651,0.03481752646856151,0.03567006279841597
35,gaussian,0.08848577983356734,0.9143285893705295,0.8258428095369622,0.8771995706397657,0.7244289579417611,0.8258428095369621,1.5389302211604396,-0.00105441710037818,0.006392986595561376,0.004333333333333333,-12.731626746604446,0.19386881103767928,-0.5078784526778836
36,oscillating,0.34193647048679154,0.6958896629649519,0.35395319247816037,0.5595513823392567,0.19805499813454763,0.35395319247816037,1.0509341540191353,0.01931268189791308,0.08794310967771667,0.003125,-0.1236531433145322,0.00015369557432787229,-1.7918615822262556e-05
37,oscillating,0.09240621814159207,0.9216848400647097,0.8292786219231176,0.8452750583665225,0.7009685355481726,0.8292786219231177,1.5346518239226679,-0.05164538811438113,0.008110134708168168,0.00475,-6.025452540317137,0.047971122555069856,-0.09352160459803086
38,constant,0.2527338114694215,0.7311251103092147,0.47839129883979314,0.5702853409350008,0.2728195449591893,0.4783912988397932,1.0851492700335843,0.0037371334104642695,0.11175181756563735,0.004125000000000001,7.464677370690618,0.13319297539685948,0.2844871294208839
39,constant,0.20015748087697982,0.7871496468025649,0.5869921659255851,0.7185605259196831,0.42178939945822236,0.5869921659255851,1.2401097266458048,-0.022325602598498258,0.09704113541383426,0.0035416666666666665,-16.837349282903595,0.9990365772208506,-2.8785186285286275
40,gaussian,0.21099305769773652,0.7288402127699807,0.5178471550722442,0.6221422300396837,0.32217458387635195,0.5178471550722442,1.1409433078370745,-0.00014935357630696178,0.1100486427130454,0.0034166666666666664,-0.17279774941987214,0.00048129482559899905,-7.67146089349842e-05
41,constant,0.3638749642215002,0.5737535695223579,0.20987860530085778,0.5024209062624899,0.10544739908036439,0.2098786053008577,1.1688598441228955,0.022801529950738003,0.014093392544277512,0.0028333333333333335,15.958137223903954,0.5112268776541777,1.4471543545352366
42,oscillating,0.19534450548132046,0.751064276612331,0.5557197711310106,0.7080703145101672,0.3934886731242528,0.5557197711310106,1.2035631908927131,-0.0076182996123820065,0.10441236459106787,0.003833333333333333,0.11801943977490326,0.00014116719949641698,1.5748438091801008e-05
43,oscillating,0.3035428678796819,0.6965247628181044,0.3929818949384225,0.6141080778839755,0.24133335614383702,0.3929818949384225,1.0110325707821464,0.013393489299037494,0.10010017602876697,0.0029166666666666672,-1.5881017798283124,0.029041458881111648,-0.027616240674716613
44,constant,0.3013964318925555,0.5804351993098006,0.2790387674172451,0.5150868185029432,0.14372919094793152,0.2790387674172451,1.1152566235529549,0.023276233020565307,0.054210480315921815,0.003041666666666667,10.899263926438223,0.4015751133472999,0.9944913485708932
45,oscillating,0.3049812511063712,0.6751052121452986,0.3701239610389274,0.585608614041854,0.21674777984768748,0.37012396103892736,1.0336987780053595,0.03361082301346793,0.09347726520563844,0.003333333333333334,-1.7147196462245147,0.023461096736027143,-0.02343033189476558
46,gaussian,0.20006079664814824,0.724601487903728,0.5245406912555798,0.6172299976390025,0.32376224962524225,0.5245406912555798,1.1469710503759598,-0.0001958831120036757,0.1093295831438259,0.0034583333333333332,-0.6936909866657345,0.006411006670051456,-0.0033780245709079545
47,oscillating,0.33317894271887083,0.6365072882784846,0.3033283455596137,0.558980652069685,0.1695546763921316,0.30332834555961374,1.0884000388346944,0.04871148058223953,0.06649358934871437,0.003166666666666667,1.290140027187532,0.005790571973165903,0.004798142999803454
48,constant,0.09771853623676115,0.9429373612128885,0.8452188249761273,0.8787508624429982,0.7427367714008294,0.8452188249761273,1.5603333021068522,-0.05243292319534831,0.015504977291781519,0.00425,-6.338509980486929,0.9999821404795142,-1.9931002256354424
49,constant,0.39047687372738343,0.5502964666826551,0.1598195929552717,0.39950066825130104,0.06384803418528197,0.15981959295527168,1.2267456607103087,0.026981889108187128,0.017753739946714208,0.002666666666666667,18.35178357585807,1.0,2.9627845896909353
50,gaussian,0.288114708944549,0.6636031871615502,0.37548847821700126,0.5497515936996504,0.2064253893156529,0.37548847821700115,1.0370411268725883,0.0010241570316735088,0.09515491021103908,0.003083333333333333,1.9108965468877146,0.025841553647287574,0.027610695493276965
51,constant,0.09922715728287901,0.9324565622017322,0.8332294049188532,0.8895179137260564,0.7411724819186217,0.8332294049188532,1.550029972509113,-0.05702732628849,0.00996096002475857,0.004416666666666668,-5.911490902557484,0.9990644048265053,-1.9313766957392835
52,oscillating,0.2722429099720004,0.6738826161801265,0.40163970620812606,0.5535142293812635,0.22231329247070797,0.40163970620812606,1.0169813970671924,0.015173554399452175,0.10223462014145127,0.0035416666666666665,-0.6559794516484003,0.005419612126252749,-0.002733612508573468
53,oscillating,0.14543362351505434,0.8763299397439157,0.7308963162288614,0.7770025792164058,0.5679083228495951,0.7308963162288613,1.4108335346218073,-0.0458985168742931,0.03991971717271411,0.003916666666666667,-1.3065630044309338,0.00624582076863045,-0.005219998044668725
