band_id,field,mode_rank,ky_idx,kx_idx,mean_power,wavelength_km,scale_center_km,mu
2,iwv,4,13,0,5080881.153839759,173.20748188864,141.4213562373095,3.5
2,iwv,5,68,0,5080881.153839759,173.20748188864,141.4213562373095,3.5
2,ivt_u,0,12,0,4624481917.646895,187.64143871269331,141.4213562373095,3.5
2,ivt_u,1,69,0,4624481917.646893,187.64143871269331,141.4213562373095,3.5
2,ivt_u,2,68,0,4118594030.227895,173.20748188864,141.4213562373095,3.5
2,ivt_u,3,13,0,4118594030.227895,173.20748188864,141.4213562373095,3.5
2,ivt_u,4,14,0,3517431022.8872013,160.8355188965943,141.4213562373095,3.5
2,ivt_u,5,67,0,3517431022.887199,160.8355188965943,141.4213562373095,3.5
2,ivt_v,0,12,0,343853865.7150561,187.64143871269331,141.4213562373095,3.5
2,ivt_v,1,69,0,343853865.71505606,187.64143871269331,141.4213562373095,3.5
2,ivt_v,2,68,0,296754854.658439,173.20748188864,141.4213562373095,3.5
2,ivt_v,3,13,0,296754854.65843886,173.20748188864,141.4213562373095,3.5
2,ivt_v,4,12,1,295495747.9395856,187.47674292990624,141.4213562373095,3.5
2,ivt_v,5,69,1,288069006.52513665,187.47674292990624,141.4213562373095,3.5
2,p_minus_e,0,70,5,0.03395741076117986,199.54839758476012,141.4213562373095,3.5
2,p_minus_e,1,70,6,0.03289865716746073,197.40178532369617,141.4213562373095,3.5
2,p_minus_e,2,70,7,0.031221651516657723,194.95203706879633,141.4213562373095,3.5
2,p_minus_e,3,69,6,0.02882836160392854,181.9722541957435,141.4213562373095,3.5
2,p_minus_e,4,12,0,0.028260660240232938,187.64143871269331,141.4213562373095,3.5
2,p_minus_e,5,69,0,0.028260660240232924,187.64143871269331,141.4213562373095,3.5
2,vorticity,0,72,14,0.00013256972761102167,197.0247618433391,141.4213562373095,3.5
2,vorticity,1,71,11,0.00010957520220069066,197.01242551977384,141.4213562373095,3.5
2,vorticity,2,75,19,0.00010144352499476212,199.5117987181655,141.4213562373095,3.5
2,vorticity,3,67,10,0.00010123010082933908,151.35890818462295,141.4213562373095,3.5
