case_id,profile,alpha1,alpha2,delta_alpha,lambda_matter_w1_mean,lm_w1_times_delta_alpha,lambda_vac_w1_mean,state_spread_phi90,lambda_w_g2_mean,coh_ptr_g2_mean,jump_rate_g2_mean,lambda_eff_raw,clausius_r2,lambda_eff_proxy
13,gaussian,0.0776989772904063,0.911951091044918,0.8342521137545117,0.8867295955149448,0.7397560393870258,0.8342521137545117,1.550440006994089,-0.0010304872564533341,0.01036393619311292,0.0038580246913580245,-6.69032766341727,0.2057662791437288,-0.4197556766865188
14,gaussian,0.3241529876885418,0.5876242562673084,0.2634712685787666,0.48877727345091704,0.1287787682885838,0.2634712685787666,1.1320982915319313,0.0010360147816516128,0.04576938799059177,0.003117283950617284,3.844518129495102,0.05166310223715043,0.08151651133398836
15,oscillating,0.1698291801720504,0.7825741553470862,0.6127449751750358,0.6854903748061214,0.42003078269330285,0.6127449751750357,1.2597478074273527,-0.01789120246395862,0.08931087684409866,0.0037654320987654316,-2.1918471427026582,0.08670035443459423,-0.10062441322050066
16,constant,0.17497120453304096,0.7968090616658889,0.621837857132848,0.6574051171753116,0.4087993893324646,0.6218378571328479,1.2625673891906157,-0.019073434638747448,0.08625727460686193,0.0037037037037037034,-10.331145575295103,0.5500822082262127,-1.3353549139173453
17,constant,0.38050912867935777,0.5314406416342186,0.15093151295486085,0.45562963251510524,0.0687688697825721,0.1509315129548608,1.2218757287934765,0.022960023495678467,0.023448824339630726,0.0027469135802469136,19.776785903671552,0.7268121953974432,2.205029222495273
18,gaussian,0.08423399485271209,0.9134013286235437,0.8291673337708316,0.8207169083855546,0.6805116507066902,0.8291673337708317,1.5283734706582943,-0.001764044001228802,0.00796886957112578,0.003981481481481481,-8.166470424702478,0.2929339869930384,-0.6490105708454649
19,gaussian,0.19604179371325772,0.789684541466426,0.5936427477531683,0.7161797776085038,0.4251549310647652,0.5936427477531683,1.2467256221118341,-0.0009598926575638092,0.09517939502950346,0.0034567901234567903,0.9492505559943968,0.00770604362817251,0.005143360046222662
20,constant,0.22475354787664728,0.7522987794588222,0.5275452315821749,0.6516982592054661,0.34380030907424786,0.5275452315821749,1.1588720983577558,-0.006279602952741992,0.10896746541779237,0.0036728395061728395,-37.9658863195789,0.41649990210697074,-1.5255085910201902
21,oscillating,0.2997645866688478,0.6774249123261404,0.3776603256572927,0.513094511809232,0.19377544042284417,0.37766032565729263,1.0429018290160799,0.02146308571827849,0.09581688792197182,0.00324074074074074,0.3943616434757269,0.001221360361966406,0.0004060250171561692
22,oscillating,0.1092669528426679,0.9435122727786087,0.8342453199359409,0.8210318698724033,0.6849419949593069,0.8342453199359408,1.53395973554081,-0.04539373958190339,0.010418492140380885,0.003796296296296296,-10.893036759482115,0.08584597207802724,-0.2125505991945772
23,gaussian,0.3555098945081021,0.5060570008020505,0.1505471062939484,0.3924278066630952,0.059078870722410026,0.1505471062939484,1.2350266267211003,0.0011032468033531652,0.023683526177304126,0.002530864197530864,13.352672296854042,0.1842521759349044,0.4908360317553497
24,constant,0.3677592170984573,0.6068234811724472,0.23906426407398992,0.43894963537014414,0.10493717154530972,0.23906426407398987,1.1602495767129744,0.02772230871554493,0.03179526910083081,0.002777777777777778,15.352478406481275,0.904402445477279,2.527243626575828
25,oscillating,0.13381727180717962,0.8760064695258039,0.7421891977186242,0.7753081470935795,0.5754253316760969,0.7421891977186241,1.4226562870749746,-0.04510464186001365,0.03445942802905766,0.0038580246913580245,-3.9577249930195273,0.030362723030586736,-0.04860910927745488
26,gaussian,0.257671874396304,0.7599266372222718,0.5022547628259678,0.6481701617199994,0.3255465508455475,0.5022547628259678,1.1305588811403657,-2.2480122831048123e-05,0.1112454660193121,0.003333333333333333,-0.026184682861619325,8.417220788814461e-06,-2.175660784057923e-07
27,gaussian,0.3578423442212224,0.5753354131468918,0.21749306892566944,0.45287768748198975,0.09849775809841818,0.21749306892566944,1.1733286215672492,0.0016486097530287248,0.018778480852758603,0.002932098765432098,16.18251863889131,0.4396163281670292,1.2502215824085892
28,gaussian,0.12760422605706498,0.9184991291727489,0.7908949031156839,0.7582271693356077,0.5996780036313647,0.7908949031156839,1.4711968508486897,-0.001400893585251754,0.010525739815760713,0.0039506172839506165,-8.513543690503681,0.2351539873905747,-0.5297352521415976
