boot_id,intercept,coef_lm_w1_times_delta_alpha,coef_delta_alpha,coef_lambda_w_g2_mean
80,2.399981093856179,6.648621175330673,-9.156172161767346,20.47410663590611
81,2.749735911118126,8.529672132458293,-11.083636584608747,9.460144296027932
82,2.339214070877068,9.875821342352456,-11.879705288251817,12.70285847910625
83,1.5536954222362591,2.796968436091613,-5.026057334392379,15.383909798157413
84,1.6828404522264775,5.5293344960735,-7.322785410563172,24.93718732574835
85,2.1092162399870444,6.380001139124505,-8.529587208210039,17.88966048172097
86,2.375987845026811,4.142701270864182,-7.4537217742767305,10.119793283970825
87,2.2930111333568974,5.103394044072142,-8.204202772133502,-0.9617879355166805
88,1.6229633253864748,5.149157661143223,-6.954859099528518,17.47748943127994
89,2.7714388193250126,6.3931053295491465,-9.515077786400042,3.2387072668157164
90,1.8369134627383512,2.5246900259706346,-4.792653499726601,33.00606575762303
91,2.3484124140191662,5.418852330281398,-8.169701115521656,12.978825869261597
92,2.39177293050893,7.874150305495088,-10.149064881321587,5.075281834216448
93,1.6083784846849671,2.652217659294169,-5.150660060200509,17.348384536457452
94,1.8298373067225207,5.750618412134882,-7.87311570901537,14.76036468765816
95,2.71869409887514,9.15548068893375,-11.580835488868896,20.189294877431692
96,2.0499264026658146,7.03941445644386,-9.01577748365665,30.56157270709386
97,2.725903790943655,6.7864099729922325,-9.811544720379217,11.628483650230233
98,3.5335162797312325,10.544551870050965,-13.605280177819182,13.170734203007845
99,2.211278425307428,2.6498006519873254,-5.737301983248928,8.907491143390242
100,1.642347793208284,2.7433085370176613,-5.163839024981666,22.061739201087292
101,2.707328281438199,6.014267264770766,-9.192103625130118,10.57453965509971
102,3.219533667679809,12.44437454369495,-14.334872905399129,25.69009588359022
103,2.3927721630205396,9.407345578525314,-10.869434742991613,39.119092221639804
104,1.9508427870390728,5.045544630066502,-7.387341328389371,16.543050504577923
105,2.295257898001238,7.752048426752638,-9.800093150191763,15.679568428268647
106,1.3952565379246837,2.083557875666671,-4.4773457975082325,15.889003509352678
107,3.931682609153086,11.046878467152947,-15.077630425140162,0.006006074089994414
108,2.5019895610286706,8.909653582979164,-11.115187896274422,27.01504770031278
109,2.3848250794309065,5.6092113365824,-8.410313337860664,12.53598249635006
110,1.7250172584532635,4.1438201877313805,-6.269190762454886,12.038862102760802
111,1.8940822081504587,3.6789121845002124,-6.207597850811204,13.405325548126664
112,2.7173020784755373,7.311120310032747,-10.316081656827166,15.366785783502793
113,1.5251420266469395,4.183506256492988,-5.9806981490773845,24.636831950556573
114,1.2116949963584733,3.215301200989361,-5.200597694068142,9.092638838824788
115,3.017054007104313,9.52528548397858,-12.50752551933135,10.838662109884925
116,1.414721495223281,0.4611797179070655,-3.1471348348905654,24.885373060039708
117,1.677841472280679,4.402369017294318,-6.094587056893204,28.486369394851778
118,2.58215537096836,5.465857633929964,-8.768911920872851,5.653023211178367
119,2.5721969943119127,6.713865398872122,-9.90552290281761,15.920091569168951
120,2.0868054899335102,0.9594903046095017,-5.4054225285135145,2.6878842717213267
121,1.5957266411516116,4.665332030341583,-6.430586488397381,15.89004790134287
122,1.5610499700490537,3.530178920841017,-5.700341636660363,15.98697658936613
123,2.714916553473868,9.717538683104678,-12.393547261370157,4.438964610287697
124,2.811341149202987,8.679515317172632,-11.517374170431538,11.23766390937764
125,2.053055260014219,2.92692734365498,-5.908781432733095,13.052855353812703
126,3.5286931971059357,15.225300534495776,-17.483072046947026,9.107771014151671
127,1.6388165420032978,4.1197706773264855,-6.38997572560491,10.390141748821252
128,3.152347755195376,7.5277467933181175,-10.996098097095778,-7.821327445991704
129,0.7870682205905855,-5.684218267584543,2.2630580320388805,10.838385127742502
130,2.0218908676508636,7.865091007005432,-9.357196658006064,24.535701523046082
131,2.1196856361903142,5.546462271666986,-7.907170582461264,19.650854831605553
132,3.3029713103092964,8.971275379715875,-12.554461615037873,1.4263195429320241
133,3.027929637239402,11.409833107760237,-13.307251064258816,16.96273233793556
134,2.58099721686119,8.045658023457628,-10.6216354899673,2.5648414579520185
135,1.9670048881230942,3.155790320616342,-6.066655713739417,15.92671404092293
136,2.7882065085842456,7.634205940682423,-10.303864584156987,24.662164907023016
137,1.387822447038861,2.896090299213539,-4.607391124405109,38.68437572000433
138,2.1813892672392163,4.464386171339829,-7.126144166645572,15.34815969691874
139,3.889921537913606,11.77117195004124,-15.595532231606347,10.37687628957339
140,2.548398558825664,6.8027796858927205,-9.59199770033224,2.253069644159029
141,2.743688924952949,8.291236440690005,-11.128399313649911,15.913521910097643
142,3.01542182652916,9.827109280835975,-12.766330985883318,12.969802920810638
143,1.264858408836717,3.123396439167468,-5.186902469541599,12.922505269757876
144,2.6342844844212543,6.9201735354960805,-9.82152584772348,5.241176617634209
145,2.3094009471455417,6.32064009770583,-8.696647387052618,8.620191423855454
146,2.24099804265014,3.728545913532257,-7.257940640650297,12.823354894222648
