n,omega_profile,dmu_mcwf,Delta_mu,K_layers,Gamma,p_jump,Ntraj,dS_hor_avg,dQ_avg,dQ_in,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
97,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0012951805020713987,0.0012951805020713987,0.5624861915821024,0.0035951995981993168,0.002857142857142857,0.022625444811536756,0.15456513912067482,0.0008838334102692667,14.537142857142857
98,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.5624861915821024,0.0,0.0,0.022625444811536756,0.15456513912067482,0.0008838334102692667,14.537142857142857
99,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0012951805020713987,0.0012951805020713987,0.5660339613232397,0.003547769741137241,0.002857142857142857,0.022625444811536756,0.15399373380045053,0.0008838334102692668,14.72
100,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0012951805020713983,0.0012951805020713983,0.5695347316880355,0.003500770364795791,0.002857142857142857,0.022625444811536756,0.15342232848022622,0.0008838334102692669,14.902857142857142
101,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356994,0.0006475902510356994,0.5712676233064864,0.0017328916184509158,0.0014285714285714286,0.022625444811536756,0.15313662582011406,0.000883833410269267,14.994285714285715
102,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.000647590251035699,0.000647590251035699,0.5729889210486299,0.0017212977421434683,0.0014285714285714286,0.022625444811536756,0.1528509231600019,0.000883833410269267,15.085714285714285
103,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356991,0.0006475902510356991,0.5746986753907313,0.0017097543421014105,0.0014285714285714286,0.022625444811536756,0.15256522049988977,0.000883833410269267,15.177142857142858
104,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.032914285714285715,-0.0019427707531070976,0.0019427707531070976,0.5797591723040532,0.005060496913321888,0.004285714285714286,0.022625444811536756,0.1517081125195533,0.0008838334102692668,15.451428571428572
105,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356991,0.0006475902510356991,0.5814232439274973,0.0016640716234441744,0.0014285714285714286,0.022625444811536756,0.15142240985944114,0.0008838334102692668,15.542857142857143
106,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356995,0.0006475902510356995,0.5830760142275201,0.0016527703000227545,0.0014285714285714286,0.022625444811536756,0.15113670719932898,0.0008838334102692667,15.634285714285713
107,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356994,0.0006475902510356994,0.5847175296417829,0.0016415154142628285,0.0014285714285714286,0.022625444811536756,0.15085100453921685,0.0008838334102692667,15.725714285714286
108,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0012951805020713985,0.0012951805020713985,0.5879669784104617,0.003249448768678831,0.002857142857142857,0.022625444811536756,0.15027959921899253,0.0008838334102692668,15.90857142857143
109,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.043885714285714285,-0.002590361004142798,0.002590361004142798,0.5943327916397674,0.006365813229305628,0.005714285714285714,0.022625444811536756,0.1491367885785439,0.0008838334102692668,16.274285714285714
110,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356991,0.0006475902510356991,0.5958967712796917,0.0015639796399242734,0.0014285714285714286,0.02262544481153675,0.14885108591843174,0.0008838334102692669,16.365714285714287
111,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0012951805020713983,0.0012951805020713983,0.5989920557960541,0.0030952845163624287,0.002857142857142857,0.022625444811536756,0.14827968059820745,0.000883833410269267,16.548571428571428
112,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.0006475902510356994,0.0006475902510356994,0.6005234423478563,0.001531386551802183,0.0014285714285714286,0.022625444811536756,0.1479939779380953,0.000883833410269267,16.64
113,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.010971428571428571,-0.000647590251035699,0.000647590251035699,0.6020440453136408,0.00152060296578449,0.0014285714285714286,0.022625444811536756,0.14770827527798314,0.0008838334102692669,16.731428571428573
114,constant,0.03,2.0,64,0.09,0.0026999999999999997,700,0.032914285714285715,-0.0019427707531070983,0.0019427707531070983,0.6065415451342444,0.0044974998206036565,0.004285714285714286,0.02262544481153675,0.14685116729764666,0.000883833410269267,17.005714285714287
